UID,Amazon Name,Original USDA Name,Final USDA Name,Original Match Confidence,Final Match Confidence
af19510e,"Quest Nutrition Chocolate Chip Dough Cookie Protein Bars, 21g Protein, 1g Sugar, 4g Net Carb, Gluten Free, Keto Friendy, 12 Count","NUTRITION BARS, CHOCOLATE CHIP COOKIE DOUGH",Protein bar,0.2857142857142857,0.9
e6d97a04,"Amazon Grocery, Ground Beef, 80% Lean/20% Fat, 3 lb (Pack of 3) (Previously Fresh Brand, Packaging May Vary)","Beef, ground, 80% lean meat / 20% fat, raw","Beef, ground, 80% lean meat / 20% fat, raw",0.425,0.95
b8cb66ee,Amazon Brand - Happy Belly California Almonds,ALMONDS,"Nuts, almonds",0.4428571428571428,0.9
652fc447,Amazon Brand - Happy Belly Pecan Halves,"HAPPY BELLY MIX, HAPPY BELLY","Pecans, raw",0.25,0.9
d9f0db13,"Quest Nutrition Chocolate Chip Dough Cookie Protein Bars, 21g Protein, 1g Sugar, 4g Net Carb, Gluten Free, Keto Friendy, 12 Count","NUTRITION BARS, CHOCOLATE CHIP COOKIE DOUGH",Protein bar,0.2857142857142857,0.9
f4532afc,"Amazon Grocery, Ground Beef, 80% Lean/20% Fat, 3 lb (Pack of 3) (Previously Fresh Brand, Packaging May Vary)","Beef, ground, 80% lean meat / 20% fat, raw","Beef, ground, 80% lean meat / 20% fat, raw",0.425,0.95
b7a17bf6,Fast Twitch Energy Drink from Gatorade Orange,"Fast food, biscuit",Energy drink,0.4111111111111111,0.9
26cc08ab,Amazon Brand - Happy Belly California Almonds,ALMONDS,"Nuts, almonds",0.4428571428571428,0.9
266bca6d,365 by Whole Foods Market Hometown Blend Coffee,Coffee substitute,"Coffee, brewed from grounds, prepared with tap water",0.4111111111111111,0.9
8894650f,Amazon Brand - Happy Belly Dried Cranberries,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY","Cranberries, dried, sweetened",0.4818181818181818,0.95
41d8a91c,Amazon Brand - Happy Belly Pecan Halves,"HAPPY BELLY MIX, HAPPY BELLY","Pecans, raw",0.25,0.9
53225181,Sir Kensington's Everything Sauce Garlic,Garlic sauce,Garlic sauce,0.4,0.9
aef72e60,Amazon Brand - Happy Belly Red Raspberries,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY","Raspberries, raw",0.4818181818181818,0.95
66646094,Amazon Fresh Organic Black Chia Seeds,"BLACK ORGANIC CHIA SEED, BLACK","Seeds, chia seeds, dried",0.4285714285714285,0.95
28dcc99e,Activia Probiotic Dailies Strawberry and Blueberry,"PROBIOTIC DAILIES LOWFAT YOGURT DRINK, STRAWBERRY, BLUEBERRY","Yogurt, Greek, strawberry, nonfat",0.3,0.9
8fdbab22,Amazon Fresh Brand Organic Honeycrisp Apples,"HONEYCRISP ORGANIC APPLES, HONEYCRISP","Apples, raw, with skin",0.2857142857142857,0.9
96e79d9c,Almond Breeze Unsweetened Original,Almond butter,"Almond milk, unsweetened, shelf stable",0.8,0.9
96d8ed79,Brownberry Oatnut Bread,"OATNUT BREAD, OATNUT","Bread, oatmeal",0.25,0.9
661eba91,El Monterey Beef and Bean Burritos,"Burrito, beef and bean, frozen","Burrito, beef and bean, frozen",0.2222222222222222,0.9
a1789833,Brownberry Whole Wheat Bread,"Bread, whole wheat","Bread, whole wheat, commercially prepared",0.4,0.9
95d7c912,365 by Whole Foods Market Organic Concord Grapes,"365 EVERYDAY VALUE, ORGANIC MAYONNAISE","Grapes, red or green (European type, such as Thompson seedless), raw",0.4818181818181818,0.9
60f8b6e0,Roland Foods Sriracha Chili Sauce,"SRIRACHA CHILI SAUCE, SRIRACHA CHILI",Hot sauce,0.3333333333333333,0.9
63ecd01f,Mandarin Clementines 3 Lb Bag,"MANDARIN ORANGES, MANDARIN","Tangerines, (mandarin oranges), raw",0.4666666666666667,0.95
59d1055f,365 by Whole Foods Market Organic Granola,"365 EVERYDAY VALUE, ORGANIC MAYONNAISE","Granola, homemade",0.5,0.9
6559e567,Fresh Produce Bundle,"Basil, fresh","Vegetables, mixed, fresh",0.25,0.9
e6280b24,365 by Whole Foods Market Pitted Dates,"365 EVERYDAY VALUE, PITTED BLACK OLIVES","Dates, medjool",0.4818181818181818,0.9
28039bb7,Amazon Fresh Classic Crust 4 Cheese,CHEESE,"Pizza, cheese topping, regular crust, frozen, cooked",0.4666666666666667,0.95
f566aa9e,Amazon Brand - Happy Belly Whole Blackberries,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY","Blackberries, raw",0.4818181818181818,0.95
a80d9e5f,Ball Park Hot Dog Buns,"Ball Park Beef Hot Dogs, 4:1 ","Rolls, hot dog, plain",0.675,0.9
55264932,Fresh Blueberries 1 Pint,"BOWL & BASKET CHOCOLATE MILK, 1 PINT","Blueberries, raw",0.2222222222222222,0.9
71737a9a,365 by Whole Foods Market Organic Cauliflower,"365 EVERYDAY VALUE, ORGANIC MAYONNAISE","Cauliflower, raw",0.5,0.9
7e21fe56,365 by Whole Foods Market Sun Dried Tomatoes,"365 EVERYDAY VALUE, TOMATO BISQUE","Tomatoes, sun-dried",0.3833333333333333,0.9
a02a5418,Pasta 16 Oz,"Pasta with sauce, NFS","Pasta, dry, enriched",0.4666666666666667,0.95
3df471c0,Amazon Brand - Happy Belly Sliced Peaches,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY","Peaches, raw",0.4818181818181818,0.95
ef45ff98,Amazon Fresh Brand Organic Gala Apples,"GALA ORGANIC APPLES, GALA","Apples, raw, with skin",0.2857142857142857,0.9
177677b9,365 by Whole Foods Market Mushrooms,"365 EVERYDAY VALUE, SALSA","Mushrooms, white, raw",0.4111111111111111,0.9
acfb15ba,Amazon Brand - Happy Belly Whole Blueberries,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY","Blueberries, raw",0.4818181818181818,0.95
3d9a7fc9,365 by Whole Foods Market Organic Green Beans,"365 EVERYDAY VALUE, ORGANIC, BLACK BEANS","Beans, snap, green, raw",0.4666666666666667,0.95
c1ee01b4,Amazon Brand - Happy Belly Sliced Strawberries,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY","Strawberries, raw",0.4818181818181818,0.95
5a5ac3b8,365 by Whole Foods Market Green Peas,"WHOLE FOODS MARKET, ORGANIC GREEN SPLIT PEAS","Peas, green, raw",0.4,0.9
810973a7,365 by Whole Foods Market Green Olives,"365 EVERYDAY VALUE, PITTED BLACK OLIVES","Olives, green",0.4818181818181818,0.95
a66384fc,Amazon Brand - Happy Belly Tropical Fruit Mix,"HAPPY BELLY MIX, HAPPY BELLY","Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, heavy syrup, solids and liquids",0.2222222222222222,0.9
943f77de,365 by Whole Foods Market Chopped Spinach,"Spinach, frozen, chopped or leaf, unprepared (Includes foods for USDA's Food Distribution Program)","Spinach, frozen, chopped or leaf, unprepared",0.4111111111111111,0.9
be869877,365 by Whole Foods Market Chopped Kale,"WHOLE FOODS MARKET, CHOPPED KALE SALAD","Kale, raw",0.4444444444444444,0.9
0b93c2d8,Gatorlyte Rapid Rehydration Orange,RAPID REHYDRATION  ELECTROLYTE BEVERAGE,Sports drink,0.3333333333333333,0.9
a405d396,Amazon Fresh Multigrain Sandwich Bread,"MULTIGRAIN SANDWICH BREAD, MULTIGRAIN","Bread, multi-grain",0.3333333333333333,0.9
a2796722,Lindt EXCELLENCE 70% Dark Chocolate,"EXCELLENCE 70% COCOA PREMIUM DARK CHOCOLATE, EXCELLENCE","Chocolate, dark, 70-85% cacao solids",0.375,0.9
d63fc1fe,Lindt EXCELLENCE 90% Dark Chocolate,"LINDT, DARK CHOCOLATE","Chocolate, dark, 85-99% cacao solids",0.3333333333333333,0.9
1399aaad,Goya Pinto Beans Dry,Pinto beans with meat,"Beans, pinto, mature seeds, raw",0.3333333333333333,0.9
3c8444ac,365 by Whole Foods Market Baby Spinach,"Spinach, baby","Spinach, raw",0.425,0.9
13db8aa5,Lindt Excellence Sea Salt Bar,NUTRITION BAR,"Candies, dark chocolate",0.4666666666666667,0.95
6fb7726a,Amazon Brand - Happy Belly Swiss Cheese Block,CHEESE,"Cheese, swiss",0.425,0.95
b7f54156,Fresh Celery,Celery juice,"Celery, raw",0.3333333333333333,0.9
79dfe247,Amazon Fresh Brand Original Unsweetened Almond Milk,Almond butter,"Almond milk, unsweetened, shelf stable",0.425,0.9
bf2a6026,Amazon Brand - Happy Belly Chopped Spinach,"Spinach, frozen, chopped or leaf, cooked, boiled, drained, with salt","Spinach, frozen, chopped or leaf, unprepared",0.3625,0.9
78e26c2a,Amazon Brand - Happy Belly Frozen Edamame,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY","Edamame, frozen, prepared",0.4818181818181818,0.95
94391e25,Amazon Brand - Happy Belly Frozen Chopped Vegetables,"HAPPY BELLY MIX, HAPPY BELLY","Vegetables, mixed, frozen, unprepared",0.2222222222222222,0.9
7622803a,365 by Whole Foods Market Organic Angel Hair Pasta,ORGANIC ANGEL HAIR PASTA,"Pasta, dry, unenriched",0.4444444444444444,0.9
fb00c334,Amazon Brand - Happy Belly Frozen Cauliflower,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY","Cauliflower, frozen, unprepared",0.4818181818181818,0.9
