Product Name,Price,Purchase Quantity,Purchase Unit,Serving Size,Serving Unit,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sugar (g)
"Quest Nutrition Chocolate Chip Dough Cookie Protein Bars, 21g Protein, 1g Sugar, 4g Net Carb, Gluten Free, Keto Friendy, 12 Count",28.99,540.00,g,45.00,g,350.00,33.33,40.00,13.33,25.00,3.33
Amazon Fresh Brand Cooked Extra Large Peeled Shrimp,25.08,907.18,g,84.00,g,83.00,17.86,0.00,0.60,0.00,0.00
Dunkin' Original Blend Medium Roast Ground Coffee,20.99,566.99,g,1.00,g,0.00,0.00,0.00,0.00,0.00,0.00
"Amazon Grocery, Ground Beef, 80% Lean/20% Fat, 3 lb (Pack of 3) (Previously Fresh Brand, Packaging May Vary)",17.99,1360.78,g,4.00,g,254.00,17.17,0.00,20.00,0.00,0.00
Extra Virgin Mediterranean Olive Oil,15.49,479.11,g,15.00,ml,800.00,0.00,0.00,93.33,0.00,0.00
Fast Twitch Energy Drink from Gatorade Orange,14.99,1247.38,g,1.00,g,110.00,0.00,27.00,0.00,0.00,26.00
Larabar Peanut Butter Chocolate Chip,14.29,547.15,g,30.00,g,500.00,13.33,50.00,26.67,10.00,33.33
Amazon Brand - Happy Belly California Almonds,13.99,453.59,g,30.00,g,579.00,21.15,21.55,49.93,12.50,4.35
Larabar Chocolate Chip Cookie Dough,13.79,324.00,g,27.00,g,441.34,5.46,62.15,19.80,5.52,38.89
365 by Whole Foods Market Hometown Blend Coffee,13.49,340.19,g,1.00,g,2.00,0.28,0.00,0.05,0.00,0.00
Jimmy Dean Sausage Egg and Cheese Croissant,13.29,440.00,g,55.00,g,362.00,9.28,18.13,28.06,1.50,0.37
PLANTERS Deluxe Salted Mixed Nuts,11.99,432.33,g,28.00,g,607.00,21.43,21.43,53.57,10.70,3.57
365 by Whole Foods Market Organic Cream,11.49,453.59,g,30.00,g,300.00,3.33,10.00,30.00,0.00,10.00
Amazon Fresh Creamy Almond Butter,10.79,453.59,g,1.00,g,641.00,20.70,21.10,52.70,9.60,4.40
Protein Bar 17.6 Ounce,9.99,283.50,g,60.00,g,350.00,33.33,40.00,13.33,25.00,3.33
Amazon Brand - Happy Belly Pecan Halves,9.99,283.50,g,30.00,g,691.00,9.17,13.86,71.97,9.60,3.97
Verde Farms Ground Beef 80% Lean/20% Fat,9.49,453.59,g,112.00,g,312.00,15.18,0.00,26.79,0.00,0.00
Amazon Brand - Happy Belly Dried Cranberries,9.09,340.19,g,355.00,ml,25.00,0.00,6.76,0.00,0.00,3.94
365 by Whole Foods Market Blueberry Organic,8.99,283.50,g,15.00,g,333.00,0.00,13.33,33.33,0.00,6.67
365 by Whole Foods Market Berry Blend Organic,8.99,283.50,g,18.00,g,333.00,0.00,77.78,0.00,5.60,55.56
Amazon Fresh Cage Free Brown Eggs Grade A,8.69,672.00,g,56.00,g,125.00,10.71,0.00,8.93,0.00,0.00
Hillshire Farm Ultra Thin Deli Sliced Turkey Breast,8.69,453.59,g,56.00,g,96.22,15.41,4.19,1.98,0.23,1.52
Home Run Inn 12' Classic Cheese Pizza,8.49,779.61,g,149.00,g,262.00,11.41,21.48,14.09,3.40,1.34
Home Run Inn Pizza Sausage,8.49,850.49,g,149.00,g,262.00,11.41,21.48,14.09,3.40,1.34
Atkins Chocolate Almond Caramel Bar,8.49,240.97,g,48.00,g,396.00,31.25,35.42,18.75,22.90,2.08
Amazon Fresh Cage Free Large White Eggs,8.29,600.00,g,50.00,g,140.00,12.00,0.00,10.00,0.00,0.00
"Lemon, 1 Each",7.99,517.09,g,1.00,g,29.00,1.10,9.32,0.30,2.80,2.50
Oikos Pro Vanilla Yogurt,7.69,907.18,g,1.00,g,127.00,3.00,21.60,3.60,0.00,19.90
Just Bare® Natural Fresh Chicken Breast Fillets | No Antibiotics Ever | Boneless | Skinless | 1.125 LB,7.49,510.29,g,112.00,g,107.00,23.21,0.00,1.34,0.00,0.00
SUNSWEET Amazin Pitted Prunes,7.29,453.59,g,40.00,g,250.00,2.50,65.00,0.00,7.50,37.50
365 by Whole Foods Market Organic Cream,7.29,453.59,g,30.00,g,300.00,3.33,10.00,30.00,0.00,10.00
FAGE Total Greek Yogurt 0% Nonfat Plain,6.99,907.18,g,227.00,g,57.00,10.13,3.96,0.00,0.00,3.96
Just Bare® Natural Fresh Chicken Thighs | Family Pack | No Antibiotics Ever | Bone-In | 2.25 LB,6.86,1020.58,g,84.00,g,239.00,24.42,0.00,15.66,0.00,0.00
IQBAR Chocolate Sea Salt,6.79,181.44,g,45.00,g,400.00,26.67,24.44,31.11,17.80,2.22
Pepperoni Pizza,6.69,481.94,g,135.00,g,267.00,11.11,25.93,13.33,1.50,2.22
Kellogg's Special K Protein Breakfast Cereal,6.69,496.12,g,59.00,g,360.00,26.10,65.50,2.40,8.00,13.70
Oikos Triple Zero Vanilla Nonfat Greek Yogurt,6.49,907.18,g,150.00,g,80.00,10.00,9.33,0.00,4.00,4.00
Red Baron Classic Pepperoni Pizza,6.39,584.00,g,137.00,g,248.00,10.22,32.85,8.76,1.50,5.84
Red Baron Classic Supreme Pizza,6.39,664.80,g,154.00,g,247.00,10.39,27.27,11.04,1.30,5.19
Red Baron Classic Four Cheese Pizza,6.39,597.04,g,135.00,g,244.00,11.11,31.11,8.89,1.50,5.93
Amazon Fresh Applewood Smoked Turkey,6.39,340.19,g,56.00,g,107.00,17.86,1.79,1.79,0.00,0.00
Amazon Brand - Happy Belly Red Raspberries,6.29,340.19,g,355.00,ml,25.00,0.00,6.76,0.00,0.00,3.94
Athenos Chunk Traditional Feta Cheese,6.29,226.80,g,28.00,g,321.00,21.43,3.57,25.00,0.00,0.00
365 by Whole Foods Market Organic White Rice,5.99,907.18,g,50.00,g,360.00,6.00,80.00,0.00,2.00,0.00
Sir Kensington's Everything Sauce Garlic,5.99,235.30,g,1.00,g,683.00,1.43,2.87,74.00,0.30,0.62
Breaded Chicken Breast Strips,5.99,1133.98,g,62.00,g,226.00,16.13,17.74,9.68,1.60,0.00
Activia Probiotic Dailies Strawberry and Blueberry,5.79,680.39,g,93.00,ml,59.00,10.19,6.77,0.00,0.00,6.77
Jif Natural Creamy Peanut Butter,5.79,793.79,g,43.00,g,581.00,20.93,25.58,51.16,7.00,9.30
Amazon Fresh Brand Organic Honeycrisp Apples,5.69,907.18,g,154.00,g,52.00,0.26,13.81,0.17,2.40,10.39
Amazon Fresh Organic Black Chia Seeds,5.69,566.99,g,12.00,g,500.00,25.00,33.33,33.33,33.30,0.00
Almond Breeze Unsweetened Original,5.49,1814.37,g,1.00,g,29.00,1.01,1.04,2.50,0.50,0.00
Silk Almond Milk Unsweet Vanilla,5.49,1814.37,g,1.00,g,133.00,0.00,20.00,6.67,0.00,20.00
Tombstone Original Crust Pizza 5 Cheese,5.39,547.15,g,153.00,g,229.00,10.46,22.88,10.46,1.30,2.61
365 by Whole Foods Market Organic Extra Virgin Olive Oil,5.39,479.11,g,15.00,ml,800.00,0.00,0.00,93.33,0.00,0.00
Brownberry Whole Wheat Bread,5.29,680.39,g,1.00,g,247.00,10.51,46.70,3.32,6.80,5.57
El Monterey Beef and Bean Burritos,5.29,907.18,g,1.00,g,239.00,7.26,30.84,9.61,4.20,0.70
Brownberry Oatnut Bread,5.29,680.39,g,38.00,g,265.00,8.40,48.30,4.40,3.00,6.30
365 by Whole Foods Market Organic Concord Grapes,5.29,680.39,g,15.00,g,69.00,0.72,18.10,0.16,0.90,15.48
Roland Foods Sriracha Chili Sauce,5.29,481.94,g,5.00,g,15.00,0.70,3.00,0.00,0.70,1.50
Happy Belly Protein Chewy Bars,5.29,538.64,g,30.00,g,533.00,10.00,53.33,40.00,6.70,23.33
Honeydew Melon,5.29,1678.29,g,4.50,g,333.00,0.00,88.89,0.00,0.00,66.67
365 by Whole Foods Market Brown Large Eggs,4.99,552.00,g,46.00,g,54.00,10.87,0.00,0.00,0.00,0.00
365 by Whole Foods Market Organic Raisins,4.99,566.99,g,40.00,g,300.00,2.50,80.00,0.00,2.50,60.00
