Product Name,Price,Quantity,Unit,Unit Price,UID
"Quest Nutrition Chocolate Chip Dough Cookie Protein Bars, 21g Protein, 1g Sugar, 4g Net Carb, Gluten Free, Keto Friendy, 12 Count",$28.99,12.0,Count,$2.42,d9f0db13
Amazon Fresh Brand Cooked Extra Large Peeled Shrimp,$25.08,2.0,lb,$12.54,8d5cf23e
Dunkin' Original Blend Medium Roast Ground Coffee,$20.99,20.0,oz,$1.05,0bdc996e
365 by Whole Foods Market Gummies Probiotic,$19.99,60.0,Count,$0.33,83de0d2f
"Amazon Grocery, Ground Beef, 80% Lean/20% Fat, 3 lb (Pack of 3) (Previously Fresh Brand, Packaging May Vary)",$17.99,3.0,lb,$6.00,f4532afc
Extra Virgin Mediterranean Olive Oil,$15.49,16.9,oz,$0.92,364f2371
Fast Twitch Energy Drink from Gatorade Orange,$14.99,44.0,oz,$0.34,b7a17bf6
Larabar Peanut Butter Chocolate Chip,$14.29,19.3,oz,$0.74,72c78da1
Amazon Brand - Happy Belly California Almonds,$13.99,16.0,oz,$0.87,26cc08ab
Larabar Chocolate Chip Cookie Dough,$13.79,12.0,Count,$1.15,a6f54a0e
365 by Whole Foods Market Hometown Blend Coffee,$13.49,12.0,oz,$1.12,266bca6d
Jimmy Dean Sausage Egg and Cheese Croissant,$13.29,8.0,Count,$1.66,ef182e31
PLANTERS Deluxe Salted Mixed Nuts,$11.99,15.25,oz,$0.79,fa94e2f6
365 by Whole Foods Market Organic Cream,$11.49,16.0,oz,$0.72,f825d0e7
El Monterey Signature Egg Sausage & Cheese Breakfast Burrito,$11.29,36.0,oz,$0.31,bf7d1f78
Amazon Fresh Just Bright Whole Bean Coffee,$10.88,12.0,oz,$0.91,db754160
Amazon Fresh Creamy Almond Butter,$10.79,16.0,oz,$0.67,dc9fca5d
Protein Bar 17.6 Ounce,$9.99,10.0,oz,$1.00,5d79e5a6
Amazon Brand - Happy Belly Pecan Halves,$9.99,10.0,oz,$1.00,41d8a91c
Verde Farms Ground Beef 80% Lean/20% Fat,$9.49,1.0,lb,$9.49,07140fa8
Amazon Brand - Happy Belly Dried Cranberries,$9.09,12.0,oz,$0.76,8894650f
365 by Whole Foods Market Blueberry Organic,$8.99,10.0,oz,$0.90,062e7cda
365 by Whole Foods Market Berry Blend Organic,$8.99,10.0,oz,$0.90,0f2417b9
Amazon Fresh Cage Free Brown Eggs Grade A,$8.69,12.0,Count,$0.72,697f3249
Hillshire Farm Ultra Thin Deli Sliced Turkey Breast,$8.69,1.0,lb,$8.69,1fc71bfa
Home Run Inn 12' Classic Cheese Pizza,$8.49,27.5,oz,$0.31,0ef5ba21
Home Run Inn Pizza Sausage,$8.49,30.0,oz,$0.28,48c714e5
Atkins Chocolate Almond Caramel Bar,$8.49,8.5,oz,$1.00,92ecd0ba
Amazon Fresh Cage Free Large White Eggs,$8.29,12.0,Count,$0.69,6bf5af8c
365 by Whole Foods Market Organic Old-Fashioned Oats,$7.99,18.0,oz,$0.44,894cfb55
"Lemon, 1 Each",$7.99,1.14,lb,$6.99,d075ab2f
Oikos Pro Vanilla Yogurt,$7.69,32.0,oz,$0.24,71ee5be7
Just Bare® Natural Fresh Chicken Breast Fillets | No Antibiotics Ever | Boneless | Skinless | 1.125 LB,$7.49,1.125,lb,$6.66,a57bd81e
"Amazon Fresh Brand, Raw Medium Peeled & Deveined Tail Off Shrimp Frozen, Responsibly Sourced, Phosphate Free, 1 Lb, (41-50 Count/Pound)",$7.49,1.0,lb,$7.49,3fe4ab94
SUNSWEET Amazin Pitted Prunes,$7.29,16.0,oz,$0.46,4d98372c
365 by Whole Foods Market Organic Cream,$7.29,16.0,oz,$0.46,3f8a5aa5
FAGE Total Greek Yogurt 0% Nonfat Plain,$6.99,32.0,oz,$0.22,07a9cd60
Just Bare® Natural Fresh Chicken Thighs | Family Pack | No Antibiotics Ever | Bone-In | 2.25 LB,$6.86,2.25,lb,$3.05,87dcbc6c
IQBAR Chocolate Sea Salt,$6.79,6.4,oz,$1.06,d9f01c7e
Pepperoni Pizza,$6.69,17.0,oz,$0.39,bb88fd81
Kellogg's Special K Protein Breakfast Cereal,$6.69,17.5,oz,$0.38,e3c8ff08
McCormick Ground Cinnamon,$6.69,7.12,oz,$0.94,b9e83681
Oikos Triple Zero Vanilla Nonfat Greek Yogurt,$6.49,32.0,oz,$0.20,5de0c510
Red Baron Classic Pepperoni Pizza,$6.39,20.6,oz,$0.31,a9b4262c
Red Baron Classic Supreme Pizza,$6.39,23.45,oz,$0.27,fc30dc02
Red Baron Classic Four Cheese Pizza,$6.39,21.06,oz,$0.30,fab40ee6
Amazon Fresh Applewood Smoked Turkey,$6.39,0.75,lb,$8.52,9be4fe31
Amazon Brand - Happy Belly Red Raspberries,$6.29,12.0,oz,$0.52,aef72e60
Athenos Chunk Traditional Feta Cheese,$6.29,8.0,oz,$0.79,d000177b
365 by Whole Foods Market Organic White Rice,$5.99,32.0,oz,$0.19,f82bb16b
Amazon Fresh Just Bright Ground Coffee,$5.99,12.0,oz,$0.50,efaa5eb0
Sir Kensington's Everything Sauce Garlic,$5.99,8.3,oz,$0.72,53225181
Breaded Chicken Breast Strips,$5.99,40.0,oz,$0.15,05b92d4f
Activia Probiotic Dailies Strawberry and Blueberry,$5.79,24.0,oz,$0.24,28dcc99e
Jif Natural Creamy Peanut Butter,$5.79,28.0,oz,$0.21,dfc37f1e
Amazon Fresh Brand Organic Honeycrisp Apples,$5.69,2.0,lb,$2.85,8fdbab22
Amazon Fresh Organic Black Chia Seeds,$5.69,20.0,oz,$0.28,66646094
Almond Breeze Unsweetened Original,$5.49,64.0,oz,$0.09,96e79d9c
Silk Almond Milk Unsweet Vanilla,$5.49,64.0,oz,$0.09,cb9e2bfe
Jennie-O Fresh Lean 93%/7% Ground Turkey,$5.49,1.0,lb,$5.49,9448a6da
Tombstone Original Crust Pizza 5 Cheese,$5.39,19.3,oz,$0.28,247e563b
Wonderful Halos Mandarins,$5.39,3.0,lb,$1.80,2ac8f7ad
365 by Whole Foods Market Organic Extra Virgin Olive Oil,$5.39,16.9,oz,$0.32,ec3e3118
Brownberry Whole Wheat Bread,$5.29,24.0,oz,$0.22,a1789833
El Monterey Beef and Bean Burritos,$5.29,32.0,oz,$0.17,661eba91
Brownberry Oatnut Bread,$5.29,24.0,oz,$0.22,96d8ed79
365 by Whole Foods Market Organic Concord Grapes,$5.29,1.5,lb,$3.53,95d7c912
Roland Foods Sriracha Chili Sauce,$5.29,17.0,oz,$0.31,60f8b6e0
Happy Belly Protein Chewy Bars,$5.29,19.0,oz,$0.28,aa012ee9
Honeydew Melon,$5.29,3.7,lb,$1.43,f4a65f7c
365 by Whole Foods Market Brown Large Eggs,$4.99,12.0,Count,$0.42,fdfa5918
365 by Whole Foods Market Organic Raisins,$4.99,20.0,oz,$0.25,63e23acb
Mandarin Clementines 3 Lb Bag,$4.99,3.0,lb,$1.66,63ecd01f
Happy Belly Frozen Chopped Vegetables,$4.99,17.0,oz,$0.29,54503d20
Fairlife 2% Reduced Fat Ultra Filtered Milk,$4.99,52.0,oz,$0.10,d79d1b5d
365 by Whole Foods Market Pitted Prunes,$4.99,12.0,oz,$0.42,09874e19
365 by Whole Foods Market Organic Granola,$4.99,12.0,oz,$0.42,59d1055f
365 by Whole Foods Market Organic Extra Virgin Olive Oil,$4.99,16.9,oz,$0.30,f7ba790c
Amazon Kitchen Classic Hummus,$4.79,16.0,oz,$0.30,97a673be
Spice World Squeeze Garlic,$4.79,9.5,oz,$0.50,5865534e
Terra Plantains Real Sea Salt Vegetable Chips,$4.79,5.0,oz,$0.96,198a41a0
365 by Whole Foods Market Pitted Dates,$4.69,12.0,oz,$0.39,e6280b24
Jack's Original Thin Crust Sausage and Pepperoni Pizza,$4.69,15.3,oz,$0.31,536df0a3
Fresh Produce Bundle,$4.69,2.35,lb,$1.99,6559e567
Amazon Fresh Supreme Rising Crust Pizza,$4.59,30.7,oz,$0.15,2f0da2eb
Amazon Brand - Happy Belly Dark Sweet Cherries,$4.59,12.0,oz,$0.38,8a123bfc
Amazon Fresh Rising Crust Pepperoni Pizza,$4.59,29.6,oz,$0.16,e4820c46
365 by Whole Foods Market Organic Cream,$4.59,8.0,oz,$0.57,4853647f
Amazon Fresh Rising Crust Four Cheese Pizza,$4.59,28.2,oz,$0.16,2193f9a1
ICE BREAKERS Ice Cubes Spearmint,$4.49,40.0,Count,$0.11,2b6ecfb5
Amazon Grocery Chicken Breast Tenderloins,$4.49,0.67,lb,$6.74,c7024fd6
Amazon Fresh Classic Crust 4 Cheese,$4.49,16.5,oz,$0.27,28039bb7
Amazon Brand - Happy Belly Whole Blackberries,$4.49,12.0,oz,$0.37,f566aa9e
Sweet Potatoes 3 lb,$4.39,3.0,lb,$1.46,28d83b33
365 by Whole Foods Market Organic Cream,$4.39,0.825,lb,$5.32,81f6151c
Amazon Grocery Chicken Breast Fillets Value Pack,$4.33,1.0,lb,$4.33,41bf75bc
365 by Whole Foods Market Brown Large Eggs,$4.29,12.0,Count,$0.36,92191a17
Amazon Fresh Brand Fuji Apples,$4.29,2.0,lb,$2.15,87da79df
Dole 100% Pineapple Juice,$4.29,46.0,oz,$0.09,74437e2f
Amazon Fresh Creamy Peanut Butter,$4.19,16.0,oz,$0.26,ce63aa39
Natural Mineral Water,$4.19,2.63,oz,$1.60,7f015b44
365 by Whole Foods Market Coconut Milk Unsweetened,$4.19,32.0,oz,$0.13,1baa1a1a
365 by Whole Foods Market Cottage Cheese,$3.99,16.0,oz,$0.25,2ec41b9f
365 by Whole Foods Market Organic Cauliflower,$3.99,16.0,oz,$0.25,71737a9a
365 by Whole Foods Market Organic Broccoli,$3.99,16.0,oz,$0.25,912b8168
Ball Park Hot Dog Buns,$3.99,14.0,oz,$0.29,a80d9e5f
Pasta 16 Oz,$3.99,16.0,oz,$0.25,a02a5418
365 by Whole Foods Market Sun Dried Tomatoes,$3.99,3.0,oz,$1.33,7e21fe56
Fresh Blueberries 1 Pint,$3.99,0.75,lb,$5.32,55264932
EPIC PROVISIONS Himalayan Sea Salt Bar,$3.99,2.5,oz,$1.60,9ebeb9cb
bakerly Hand Braided Brioche,$3.99,16.9,oz,$0.24,b933d0f7
Amazon Fresh Cage Free Large Brown Eggs,$3.89,12.0,Count,$0.32,83c154de
Quaker Rice Cakes Lightly Salted,$3.79,4.47,oz,$0.85,28f0b24f
Dash Salt-Free Seasoning Blend Original,$3.79,2.5,oz,$1.52,2a751a7d
Amazon Fresh Greek Nonfat Plain Yogurt,$3.79,32.0,oz,$0.12,0c9a16bd
Amazon Fresh Brand Organic Gala Apples,$3.79,2.0,lb,$1.90,ef45ff98
Enriched White Long Grain Rice,$3.79,18.0,oz,$0.21,4bcc7354
Amazon Brand - Happy Belly Sliced Peaches,$3.79,16.0,oz,$0.24,3df471c0
Ball Park Classic Hot Dogs,$3.79,15.0,oz,$0.25,0da3acb4
La Preferida Black Beans,$3.69,29.0,oz,$0.13,0ebbe638
365 by Whole Foods Market Mushrooms,$3.69,8.0,oz,$0.46,177677b9
Crazy Richard's Natural Creamy Peanut Butter,$3.69,16.0,oz,$0.23,d2a05c21
Classico Vodka Sauce Pasta Sauce,$3.59,24.0,oz,$0.15,640bbc7e
Amazon Brand - Happy Belly Whole Blueberries,$3.59,12.0,oz,$0.30,acfb15ba
Cherry Tomatoes,$3.59,4.85,oz,$0.74,47998489
