Product Name,Price,Quantity,Unit,Unit Price,Serving Size,Serving Unit,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sugar (g)
"Quest Nutrition Chocolate Chip Dough Cookie Protein Bars, 21g Protein, 1g Sugar, 4g Net Carb, Gluten Free, Keto Friendy, 12 Count",$28.99,12.0,Count,$2.42,45.0,g,400.0,22.22,53.33,11.11,2.2,40.0
Amazon Fresh Brand Cooked Extra Large Peeled Shrimp,$25.08,2.0,lb,$12.54,84.0,g,83.0,17.86,0.0,0.6,0.0,0.0
Dunkin' Original Blend Medium Roast Ground Coffee,$20.99,20.0,oz,$1.05,,,0.0,0.0,0.0,0.0,0,0
365 by Whole Foods Market Gummies Probiotic,$19.99,60.0,Count,$0.33,38.0,g,316.0,0.0,78.95,0.0,0.0,39.47
"Amazon Grocery, Ground Beef, 80% Lean/20% Fat, 3 lb (Pack of 3) (Previously Fresh Brand, Packaging May Vary)",$17.99,3.0,lb,$6.00,18.0,g,333.0,55.56,27.78,2.78,0.0,0.0
Extra Virgin Mediterranean Olive Oil,$15.49,16.9,oz,$0.92,100.0,milliliter,0,0,0,0,0,0
Fast Twitch Energy Drink from Gatorade Orange,$14.99,44.0,oz,$0.34,,undetermined,26.0,0.0,6.43,0.0,0.0,5.24
Larabar Peanut Butter Chocolate Chip,$14.29,19.3,oz,$0.74,,undetermined,475,7.8,59.5,25.3,3.0,34.7
Amazon Brand - Happy Belly California Almonds,$13.99,16.0,oz,$0.87,30.0,GRM,533.0,10.0,53.33,40.0,6.7,23.33
Larabar Chocolate Chip Cookie Dough,$13.79,12.0,Count,$1.15,1.0,undetermined,451.0,3.98,61.02,21.33,1.5,38.04
365 by Whole Foods Market Hometown Blend Coffee,$13.49,12.0,oz,$1.12,3.5,g,0.0,0.0,28.57,0.0,0.0,28.57
Jimmy Dean Sausage Egg and Cheese Croissant,$13.29,8.0,Count,$1.66,1.0,undetermined,328.0,9.29,21.07,22.9,2.0,3.1
PLANTERS Deluxe Salted Mixed Nuts,$11.99,15.25,oz,$0.79,28.0,g,607.0,17.86,25.0,50.0,7.1,3.57
365 by Whole Foods Market Organic Cream,$11.49,16.0,oz,$0.72,16.0,g,688.0,6.25,25.0,62.5,18.8,6.25
El Monterey Signature Egg Sausage & Cheese Breakfast Burrito,$11.29,36.0,oz,$0.31,,undetermined,257,11.3,18.9,15.0,1.3,1.7
Amazon Fresh Just Bright Whole Bean Coffee,$10.88,12.0,oz,$0.91,1.0,undetermined,143.0,12.56,0.72,9.51,0.0,0.37
Amazon Fresh Creamy Almond Butter,$10.79,16.0,oz,$0.67,,,602.510076,20.78734,21.23666,53.04,9.718,0
Protein Bar 17.6 Ounce,$9.99,10.0,oz,$1.00,1.0,undetermined,412.0,30.34,38.4,15.17,7.3,15.17
Amazon Brand - Happy Belly Pecan Halves,$9.99,10.0,oz,$1.00,30.0,GRM,533.0,10.0,53.33,40.0,6.7,23.33
Verde Farms Ground Beef 80% Lean/20% Fat,$9.49,1.0,lb,$9.49,,,,,,,,
Amazon Brand - Happy Belly Dried Cranberries,$9.09,12.0,oz,$0.76,30.0,GRM,533.0,10.0,53.33,40.0,6.7,23.33
365 by Whole Foods Market Blueberry Organic,$8.99,10.0,oz,$0.90,99.0,g,374.0,3.03,59.6,13.13,1.0,31.31
365 by Whole Foods Market Berry Blend Organic,$8.99,10.0,oz,$0.90,,,0.0,0.0,0.0,0.0,0.0,0.0
Amazon Fresh Cage Free Brown Eggs Grade A,$8.69,12.0,Count,$0.72,56.0,g,125.0,10.71,0.0,8.93,0.0,0.0
Hillshire Farm Ultra Thin Deli Sliced Turkey Breast,$8.69,1.0,lb,$8.69,56.0,GRM,96.22,15.41,4.19,1.98,0.23,1.52
Home Run Inn 12' Classic Cheese Pizza,$8.49,27.5,oz,$0.31,130.0,g,277.0,12.31,22.31,15.38,3.1,1.54
Home Run Inn Pizza Sausage,$8.49,30.0,oz,$0.28,149.0,g,262.0,11.41,21.48,14.09,3.4,1.34
Atkins Chocolate Almond Caramel Bar,$8.49,8.5,oz,$1.00,,,61.635825,0.5625,15.265,0.5725,1.753,10.698
Amazon Fresh Cage Free Large White Eggs,$8.29,12.0,Count,$0.69,50.0,g,140.0,12.0,0.0,10.0,0.0,0.0
365 by Whole Foods Market Organic Old-Fashioned Oats,$7.99,18.0,oz,$0.44,,,378.866123,13.49645,68.65755,5.89,0.7014,0
"Lemon, 1 Each",$7.99,1.14,lb,$6.99,30.0,g,300.0,0.0,6.67,30.0,0.0,3.33
Oikos Pro Vanilla Yogurt,$7.69,32.0,oz,$0.24,5.3,undetermined,85.0,8.12,12.72,0.14,0.5,11.4
Just Bare® Natural Fresh Chicken Breast Fillets | No Antibiotics Ever | Boneless | Skinless | 1.125 LB,$7.49,1.125,lb,$6.66,,,,,,,,
"Amazon Fresh Brand, Raw Medium Peeled & Deveined Tail Off Shrimp Frozen, Responsibly Sourced, Phosphate Free, 1 Lb, (41-50 Count/Pound)",$7.49,1.0,lb,$7.49,,,,,,,,
SUNSWEET Amazin Pitted Prunes,$7.29,16.0,oz,$0.46,,,,,,,,
365 by Whole Foods Market Organic Cream,$7.29,16.0,oz,$0.46,,,,,,,,
FAGE Total Greek Yogurt 0% Nonfat Plain,$6.99,32.0,oz,$0.22,,,,,,,,
Just Bare® Natural Fresh Chicken Thighs | Family Pack | No Antibiotics Ever | Bone-In | 2.25 LB,$6.86,2.25,lb,$3.05,,,,,,,,
IQBAR Chocolate Sea Salt,$6.79,6.4,oz,$1.06,,,,,,,,
Pepperoni Pizza,$6.69,17.0,oz,$0.39,,,,,,,,
Kellogg's Special K Protein Breakfast Cereal,$6.69,17.5,oz,$0.38,,,,,,,,
McCormick Ground Cinnamon,$6.69,7.12,oz,$0.94,,,,,,,,
Oikos Triple Zero Vanilla Nonfat Greek Yogurt,$6.49,32.0,oz,$0.20,,,,,,,,
Red Baron Classic Pepperoni Pizza,$6.39,20.6,oz,$0.31,,,,,,,,
Red Baron Classic Supreme Pizza,$6.39,23.45,oz,$0.27,,,,,,,,
Red Baron Classic Four Cheese Pizza,$6.39,21.06,oz,$0.30,,,,,,,,
Amazon Fresh Applewood Smoked Turkey,$6.39,0.75,lb,$8.52,,,,,,,,
Amazon Brand - Happy Belly Red Raspberries,$6.29,12.0,oz,$0.52,,,,,,,,
Athenos Chunk Traditional Feta Cheese,$6.29,8.0,oz,$0.79,,,,,,,,
365 by Whole Foods Market Organic White Rice,$5.99,32.0,oz,$0.19,,,,,,,,
Amazon Fresh Just Bright Ground Coffee,$5.99,12.0,oz,$0.50,,,,,,,,
Sir Kensington's Everything Sauce Garlic,$5.99,8.3,oz,$0.72,,,,,,,,
Breaded Chicken Breast Strips,$5.99,40.0,oz,$0.15,,,,,,,,
Activia Probiotic Dailies Strawberry and Blueberry,$5.79,24.0,oz,$0.24,,,,,,,,
Jif Natural Creamy Peanut Butter,$5.79,28.0,oz,$0.21,,,,,,,,
Amazon Fresh Brand Organic Honeycrisp Apples,$5.69,2.0,lb,$2.85,,,,,,,,
Amazon Fresh Organic Black Chia Seeds,$5.69,20.0,oz,$0.28,,,,,,,,
Almond Breeze Unsweetened Original,$5.49,64.0,oz,$0.09,,,,,,,,
Silk Almond Milk Unsweet Vanilla,$5.49,64.0,oz,$0.09,,,,,,,,
Jennie-O Fresh Lean 93%/7% Ground Turkey,$5.49,1.0,lb,$5.49,,,,,,,,
Tombstone Original Crust Pizza 5 Cheese,$5.39,19.3,oz,$0.28,,,,,,,,
