UID,Amazon Name,USDA Name,USDA Food ID,Match Confidence,Serving Size,Serving Unit,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sugar (g)
55264932,Fresh Blueberries 1 Pint,"BOWL & BASKET CHOCOLATE MILK, 1 PINT",2652255,0.2222222222222222,473.0,MLT,89.0,3.38,10.57,3.81,0.0,10.57
a66384fc,Amazon Brand - Happy Belly Tropical Fruit Mix,"HAPPY BELLY MIX, HAPPY BELLY",2548403,0.2222222222222222,30.0,GRM,533.0,10.0,53.33,40.0,6.7,23.33
ee8e2275,Amazon Fresh Beef Broth,"Soup, beef broth or bouillon, powder, dry",171560,0.2222222222222222,1.0,undetermined,213.0,15.97,17.4,8.89,0.0,16.71
207e4032,Amazon Brand - Happy Belly Frozen California Blend,"HAPPY BELLY MIX, HAPPY BELLY",2548403,0.2222222222222222,30.0,GRM,533.0,10.0,53.33,40.0,6.7,23.33
94391e25,Amazon Brand - Happy Belly Frozen Chopped Vegetables,"HAPPY BELLY MIX, HAPPY BELLY",2548403,0.2222222222222222,30.0,GRM,533.0,10.0,53.33,40.0,6.7,23.33
661eba91,El Monterey Beef and Bean Burritos,"Burrito, beef and bean, frozen",173335,0.2222222222222222,1.0,undetermined,239.0,7.26,30.84,9.61,4.2,0.7
e86e739d,Amazon Brand - Happy Belly Mixed Vegetables,"HAPPY BELLY MIX, HAPPY BELLY",2548403,0.25,30.0,GRM,533.0,10.0,53.33,40.0,6.7,23.33
652fc447,Amazon Brand - Happy Belly Pecan Halves,"HAPPY BELLY MIX, HAPPY BELLY",2548403,0.25,30.0,GRM,533.0,10.0,53.33,40.0,6.7,23.33
8a459777,Amazon Brand - Happy Belly Frozen Broccoli,"HAPPY BELLY MIX, HAPPY BELLY",2548403,0.25,30.0,GRM,533.0,10.0,53.33,40.0,6.7,23.33
6559e567,Fresh Produce Bundle,"Basil, fresh",172232,0.25,2.0,undetermined,23.0,3.15,2.65,0.64,1.6,0.3
41d8a91c,Amazon Brand - Happy Belly Pecan Halves,"HAPPY BELLY MIX, HAPPY BELLY",2548403,0.25,30.0,GRM,533.0,10.0,53.33,40.0,6.7,23.33
96d8ed79,Brownberry Oatnut Bread,"OATNUT BREAD, OATNUT",869654,0.25,38.0,g,289.0,10.53,50.0,5.26,5.3,7.89
8606cec8,Cucumber,Cucumber and vegetable namasu,2709818,0.25,,undetermined,56.0,0.47,12.2,0.18,0.6,10.8
af19510e,"Quest Nutrition Chocolate Chip Dough Cookie Protein Bars, 21g Protein, 1g Sugar, 4g Net Carb, Gluten Free, Keto Friendy, 12 Count","NUTRITION BARS, CHOCOLATE CHIP COOKIE DOUGH",1837878,0.2857142857142857,45.0,g,400.0,22.22,53.33,11.11,2.2,40.0
