uid,amazon_name,usda_name,usda_food_id,rank,serving_size,serving_unit,calories,protein,carbs,fat,fiber,sugar
19a86f53,365 by Whole Foods Market Gummies Probiotic,"Nutritional supplement for people with diabetes, liquid",170892,1,1.0,undetermined,88.0,4.4,11.88,3.08,2.2,2.64
e6e8bda6,Fast Twitch Energy Drink from Gatorade Orange,Sports drink (Gatorade G),2710769,1,,undetermined,26.0,0.0,6.43,0.0,0.0,5.24
0881eed1,365 by Whole Foods Market Hometown Blend Coffee,ALADIN ROASTED AND GROUND COFFEE,2570773,1,5.0,GRM,300.0,20.0,60.0,10.0,40.0,0.0
b9e83681,McCormick Ground Cinnamon,"Spices, cinnamon, ground",171320,1,1.0,undetermined,247.0,3.99,80.59,1.24,53.1,2.17
96e79d9c,Almond Breeze Unsweetened Original,"Almond milk, unsweetened",2705409,1,,undetermined,15.0,0.55,0.34,1.22,0.0,0.0
55264932,Fresh Blueberries 1 Pint,"Blueberries, raw",2709275,1,,undetermined,64.0,0.7,14.6,0.31,2.4,9.36
71737a9a,365 by Whole Foods Market Organic Cauliflower,"Cauliflower, raw",2685573,1,,,0.0,1.640625,4.723075,0.2375,1.948,0.0
95d7c912,365 by Whole Foods Market Organic Concord Grapes,"CONCORD GRAPE ORGANIC JELLY, CONCORD GRAPE",2324027,1,20.0,g,250.0,0.0,60.0,0.0,0.0,60.0
59d1055f,365 by Whole Foods Market Organic Granola,"Cereal, granola",2708461,1,,undetermined,420.0,9.82,67.4,13.0,7.4,22.2
e6280b24,365 by Whole Foods Market Pitted Dates,"DRIED PITTED DATES, DRIED PITTED",2552179,1,40.0,GRM,325.0,2.5,80.0,0.0,7.5,62.5
48f76628,365 by Whole Foods Market Organic Carrots,"Carrots, raw",2709660,1,,undetermined,44.0,0.87,9.68,0.24,2.9,4.75
177677b9,365 by Whole Foods Market Mushrooms,"Mushrooms, raw",2709793,1,,undetermined,31.0,2.9,4.13,0.35,1.7,1.98
8a459777,Amazon Brand - Happy Belly Frozen Broccoli,"Broccoli, frozen, cooked with oil",2709652,1,,undetermined,53.0,3.0,5.18,3.02,2.9,1.42
ee8e2275,Amazon Fresh Beef Broth,"Soup, beef broth, cubed, dry",171561,1,1.0,undetermined,170.0,17.3,16.1,4.0,0.0,14.51
a80d9e5f,Ball Park Hot Dog Buns,"Chili hot dog, no bun",2706409,1,,undetermined,202.0,10.0,7.09,15.0,1.7,1.35
83de0d2f,365 by Whole Foods Market Gummies Probiotic,"Nutritional supplement for people with diabetes, liquid",170892,1,1.0,undetermined,88.0,4.4,11.88,3.08,2.2,2.64
266bca6d,365 by Whole Foods Market Hometown Blend Coffee,ALADIN ROASTED AND GROUND COFFEE,2570773,1,5.0,GRM,300.0,20.0,60.0,10.0,40.0,0.0
79dfe247,Amazon Fresh Brand Original Unsweetened Almond Milk,"Almond milk, unsweetened",2705409,1,,undetermined,15.0,0.55,0.34,1.22,0.0,0.0
