UID,Amazon Name,USDA Name,USDA Food ID,Match Confidence,Serving Size,Serving Unit,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sugar (g)
af19510e,"Quest Nutrition Chocolate Chip Dough Cookie Protein Bars, 21g Protein, 1g Sugar, 4g Net Carb, Gluten Free, Keto Friendy, 12 Count","NUTRITION BARS, CHOCOLATE CHIP COOKIE DOUGH",1837878,0.2857142857142857,45.0,g,400.0,22.22,53.33,11.11,2.2,40.0
6a4b3e68,Amazon Fresh Brand Cooked Extra Large Peeled Shrimp,PEELED & DEVEINED EXTRA LARGE COOKED SHRIMP,2450328,0.8,84.0,g,83.0,17.86,0.0,0.6,0.0,0.0
1264e432,Dunkin' Original Blend Medium Roast Ground Coffee,HOUSE BLEND MEDIUM ROAST GROUND COFFEE,2560107,0.925,,,0.0,0.0,0.0,0.0,0.0,0.0
19a86f53,365 by Whole Foods Market Gummies Probiotic,"Nutritional supplement for people with diabetes, liquid",170892,0.9,1.0,undetermined,88.0,4.4,11.88,3.08,2.2,2.64
e6d97a04,"Amazon Grocery, Ground Beef, 80% Lean/20% Fat, 3 lb (Pack of 3) (Previously Fresh Brand, Packaging May Vary)","Beef, ground, 80% lean meat / 20% fat, raw",174036,0.425,4.0,undetermined,254.0,17.17,0.0,20.0,0.0,0.0
b1990122,Extra Virgin Mediterranean Olive Oil,MEDITERRANEAN EXTRA VIRGIN OLIVE OIL,2120946,1.0,15.0,ml,800.0,0.0,0.0,93.33,0.0,0.0
e6e8bda6,Fast Twitch Energy Drink from Gatorade Orange,Sports drink (Gatorade G),2710769,0.9,1.0,undetermined,26.0,0.0,6.43,0.0,0.0,5.24
833a5bb3,Larabar Peanut Butter Chocolate Chip,Larabar Chocolate Peanut Butter Truffles,761404,0.9666666666666666,30.0,g,500.0,13.33,50.0,26.67,10.0,33.33
b8cb66ee,Amazon Brand - Happy Belly California Almonds,ALMONDS,2074342,0.4428571428571428,30.0,g,633.0,23.33,13.33,56.67,10.0,3.33
434bea9e,Larabar Chocolate Chip Cookie Dough,Larabar Kid Chocolate Chip Cookie Bakes,2721633,0.8714285714285714,27.0,GRM,441.3367,5.463,62.1481,19.7953,5.5163,38.8873
0881eed1,365 by Whole Foods Market Hometown Blend Coffee,ALADIN ROASTED AND GROUND COFFEE,2570773,0.9,5.0,GRM,300.0,20.0,60.0,10.0,40.0,0.0
2113d8ef,Jimmy Dean Sausage Egg and Cheese Croissant,Jimmy Dean Sausage Tots,2695545,0.975,55.0,GRM,362.0,9.28,18.13,28.06,1.5,0.37
1797c05b,PLANTERS Deluxe Salted Mixed Nuts,"PLANTERS MIXED NUTS, 10.3 OZ",2614901,0.8500000000000001,28.0,GRM,607.0,21.43,21.43,53.57,10.7,3.57
3da78077,365 by Whole Foods Market Organic Cream,"365 EVERYDAY VALUE, CREAM CHEESE SPREAD",2052159,0.7818181818181817,30.0,g,300.0,3.33,10.0,30.0,0.0,10.0
be9260a3,Amazon Fresh Creamy Almond Butter,Almond butter,2707533,0.7,,undetermined,641.0,20.7,21.1,52.7,9.6,4.4
310e65df,Protein Bar 17.6 Ounce,PROTEIN BAR,2112671,1.0,60.0,g,350.0,33.33,40.0,13.33,25.0,3.33
652fc447,Amazon Brand - Happy Belly Pecan Halves,"HAPPY BELLY MIX, HAPPY BELLY",2548403,0.25,30.0,GRM,533.0,10.0,53.33,40.0,6.7,23.33
a77c7fb0,Verde Farms Ground Beef 80% Lean/20% Fat,GROUND BEEF,2071973,0.5857142857142856,112.0,g,312.0,15.18,0.0,26.79,0.0,0.0
d9f0db13,"Quest Nutrition Chocolate Chip Dough Cookie Protein Bars, 21g Protein, 1g Sugar, 4g Net Carb, Gluten Free, Keto Friendy, 12 Count","NUTRITION BARS, CHOCOLATE CHIP COOKIE DOUGH",1837878,0.2857142857142857,45.0,g,400.0,22.22,53.33,11.11,2.2,40.0
f4532afc,"Amazon Grocery, Ground Beef, 80% Lean/20% Fat, 3 lb (Pack of 3) (Previously Fresh Brand, Packaging May Vary)","Beef, ground, 80% lean meat / 20% fat, raw",174036,0.425,4.0,undetermined,254.0,17.17,0.0,20.0,0.0,0.0
364f2371,Extra Virgin Mediterranean Olive Oil,MEDITERRANEAN EXTRA VIRGIN OLIVE OIL,2120946,1.0,15.0,ml,800.0,0.0,0.0,93.33,0.0,0.0
8d5cf23e,Amazon Fresh Brand Cooked Extra Large Peeled Shrimp,PEELED & DEVEINED EXTRA LARGE COOKED SHRIMP,2450328,0.8,84.0,g,83.0,17.86,0.0,0.6,0.0,0.0
83de0d2f,365 by Whole Foods Market Gummies Probiotic,"Nutritional supplement for people with diabetes, liquid",170892,0.9,1.0,undetermined,88.0,4.4,11.88,3.08,2.2,2.64
b7a17bf6,Fast Twitch Energy Drink from Gatorade Orange,"Fast food, biscuit",170302,0.4111111111111111,1.0,undetermined,370.0,7.08,42.82,18.92,2.5,3.88
0bdc996e,Dunkin' Original Blend Medium Roast Ground Coffee,HOUSE BLEND MEDIUM ROAST GROUND COFFEE,2560107,0.925,,,0.0,0.0,0.0,0.0,0.0,0.0
26cc08ab,Amazon Brand - Happy Belly California Almonds,ALMONDS,2074342,0.4428571428571428,30.0,g,633.0,23.33,13.33,56.67,10.0,3.33
a6f54a0e,Larabar Chocolate Chip Cookie Dough,Larabar Kid Chocolate Chip Cookie Bakes,2721633,0.8714285714285714,27.0,GRM,441.3367,5.463,62.1481,19.7953,5.5163,38.8873
fa94e2f6,PLANTERS Deluxe Salted Mixed Nuts,"PLANTERS MIXED NUTS, 10.3 OZ",2614901,0.8500000000000001,28.0,GRM,607.0,21.43,21.43,53.57,10.7,3.57
72c78da1,Larabar Peanut Butter Chocolate Chip,Larabar Chocolate Peanut Butter Truffles,761404,0.9666666666666666,30.0,g,500.0,13.33,50.0,26.67,10.0,33.33
ef182e31,Jimmy Dean Sausage Egg and Cheese Croissant,Jimmy Dean Sausage Tots,2695545,0.975,55.0,GRM,362.0,9.28,18.13,28.06,1.5,0.37
f825d0e7,365 by Whole Foods Market Organic Cream,"365 EVERYDAY VALUE, CREAM CHEESE SPREAD",2052159,0.7818181818181817,30.0,g,300.0,3.33,10.0,30.0,0.0,10.0
266bca6d,365 by Whole Foods Market Hometown Blend Coffee,ALADIN ROASTED AND GROUND COFFEE,2570773,0.9,5.0,GRM,300.0,20.0,60.0,10.0,40.0,0.0
8894650f,Amazon Brand - Happy Belly Dried Cranberries,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY",2399570,0.4818181818181818,355.0,ml,25.0,0.0,6.76,0.0,0.0,3.94
dc9fca5d,Amazon Fresh Creamy Almond Butter,Almond butter,2707533,0.7,,undetermined,641.0,20.7,21.1,52.7,9.6,4.4
07140fa8,Verde Farms Ground Beef 80% Lean/20% Fat,GROUND BEEF,2071973,0.5857142857142856,112.0,g,312.0,15.18,0.0,26.79,0.0,0.0
41d8a91c,Amazon Brand - Happy Belly Pecan Halves,"HAPPY BELLY MIX, HAPPY BELLY",2548403,0.25,30.0,GRM,533.0,10.0,53.33,40.0,6.7,23.33
5d79e5a6,Protein Bar 17.6 Ounce,PROTEIN BAR,2112671,1.0,60.0,g,350.0,33.33,40.0,13.33,25.0,3.33
1fc71bfa,Hillshire Farm Ultra Thin Deli Sliced Turkey Breast,Hillshire Farm Sliced Turkey Breast,2722525,1.0,56.0,GRM,96.22,15.41,4.19,1.98,0.23,1.52
062e7cda,365 by Whole Foods Market Blueberry Organic,"365 EVERYDAY VALUE, ORGANIC MAYONNAISE",2026724,0.5,15.0,g,333.0,0.0,13.33,33.33,0.0,6.67
d075ab2f,"Lemon, 1 Each","Lemon, raw",2709168,0.55,,undetermined,29.0,1.1,9.32,0.3,2.8,2.5
48c714e5,Home Run Inn Pizza Sausage,"HOME RUN INN, ULTRA THIN BACON LOVERS PIZZA",2037719,0.6,149.0,g,262.0,11.41,21.48,14.09,3.4,1.34
697f3249,Amazon Fresh Cage Free Brown Eggs Grade A,CAGE FREE LARGE GRADE A FRESH BROWN EGGS,2409060,1.0,56.0,g,125.0,10.71,0.0,8.93,0.0,0.0
0ef5ba21,Home Run Inn 12' Classic Cheese Pizza,"HOME RUN INN, ULTRA THIN BACON LOVERS PIZZA",2037719,0.55,149.0,g,262.0,11.41,21.48,14.09,3.4,1.34
6bf5af8c,Amazon Fresh Cage Free Large White Eggs,FRESH CAGE FREE LARGE WHITE EGGS,1661949,1.0,50.0,g,140.0,12.0,0.0,10.0,0.0,0.0
0f2417b9,365 by Whole Foods Market Berry Blend Organic,"365 ORGANIC EVERYDAY VALUE, ORGANIC VERY BERRY FRUIT STRIP",2032274,0.5307692307692308,18.0,g,333.0,0.0,77.78,0.0,5.6,55.56
71ee5be7,Oikos Pro Vanilla Yogurt,"Frozen yogurt bar, vanilla",2705457,0.6333333333333333,,undetermined,127.0,3.0,21.6,3.6,0.0,19.9
92ecd0ba,Atkins Chocolate Almond Caramel Bar,"CHOCOLATE ALMOND CARAMEL BAR, CHOCOLATE ALMOND CARAMEL",2626546,0.5,48.0,GRM,396.0,31.25,35.42,18.75,22.9,2.08
4d98372c,SUNSWEET Amazin Pitted Prunes,AMAZIN PITTED PRUNES,2664043,0.75,40.0,GRM,250.0,2.5,65.0,0.0,7.5,37.5
3f8a5aa5,365 by Whole Foods Market Organic Cream,"365 EVERYDAY VALUE, CREAM CHEESE SPREAD",2052159,0.7818181818181817,30.0,g,300.0,3.33,10.0,30.0,0.0,10.0
a57bd81e,Just Bare® Natural Fresh Chicken Breast Fillets | No Antibiotics Ever | Boneless | Skinless | 1.125 LB,BONELESS SKINLESS CHICKEN BREAST FILLETS,1602307,0.6333333333333333,112.0,g,107.0,23.21,0.0,1.34,0.0,0.0
b9e83681,McCormick Ground Cinnamon,"Spices, cinnamon, ground",171320,0.9,1.0,undetermined,247.0,3.99,80.59,1.24,53.1,2.17
07a9cd60,FAGE Total Greek Yogurt 0% Nonfat Plain,TOTAL 0% NONFAT GREEK STRAINED YOGURT,2187461,0.925,227.0,g,57.0,10.13,3.96,0.0,0.0,3.96
87dcbc6c,Just Bare® Natural Fresh Chicken Thighs | Family Pack | No Antibiotics Ever | Bone-In | 2.25 LB,Chicken Thighs Bone-In,2717128,0.5,84.0,GRM,239.0,24.42,0.0,15.66,0.0,0.0
d9f01c7e,IQBAR Chocolate Sea Salt,"CHOCOLATE SEA SALT BAR, CHOCOLATE SEA SALT",2663640,0.8999999999999999,45.0,GRM,400.0,26.67,24.44,31.11,17.8,2.22
bb88fd81,Pepperoni Pizza,PEPPERONI PIZZA,2094678,1.0,135.0,g,267.0,11.11,25.93,13.33,1.5,2.22
9be4fe31,Amazon Fresh Applewood Smoked Turkey,"APPLEWOOD SMOKED TURKEY BREAST, APPLEWOOD SMOKED",2213058,0.5,56.0,g,107.0,17.86,1.79,1.79,0.0,0.0
5de0c510,Oikos Triple Zero Vanilla Nonfat Greek Yogurt,"DANNON, OIKOS, TRIPLE ZERO BLENDED NONFAT GREEK YOGURT, CHERRY, CHERRY",2619047,0.6076923076923078,150.0,GRM,80.0,10.0,9.33,0.0,4.0,4.0
e3c8ff08,Kellogg's Special K Protein Breakfast Cereal,Kellogg's Special K Cereal Protein Plus 19oz,2518898,0.925,59.0,GRM,360.0,26.1,65.5,2.4,8.0,13.7
fab40ee6,Red Baron Classic Four Cheese Pizza,"RED BARON, RISING CRUSST CHEESE PIZZA",2031984,0.6333333333333333,135.0,g,244.0,11.11,31.11,8.89,1.5,5.93
a9b4262c,Red Baron Classic Pepperoni Pizza,"RED BARON, RISING CRUST PEPPERONI PIZZA",2032003,0.675,137.0,g,248.0,10.22,32.85,8.76,1.5,5.84
fc30dc02,Red Baron Classic Supreme Pizza,"RED BARON, CLASSIC CRUST 4 - MEAT PIZZA",2037573,0.6,154.0,g,247.0,10.39,27.27,11.04,1.3,5.19
53225181,Sir Kensington's Everything Sauce Garlic,Garlic sauce,2710169,0.4,,undetermined,683.0,1.43,2.87,74.0,0.3,0.62
aef72e60,Amazon Brand - Happy Belly Red Raspberries,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY",2399570,0.4818181818181818,355.0,ml,25.0,0.0,6.76,0.0,0.0,3.94
d000177b,Athenos Chunk Traditional Feta Cheese,"TRADITIONAL FETA CHEESE CHUNK, TRADITIONAL FETA",2656366,0.8,28.0,GRM,321.0,21.43,3.57,25.0,0.0,0.0
f82bb16b,365 by Whole Foods Market Organic White Rice,"365 EVERYDAY VALUE, SUSHI RICE SHORT GRAIN WHITE",2027138,0.5307692307692308,50.0,g,360.0,6.0,80.0,0.0,2.0,0.0
