,Week,Item Costs,Delivery Fee,Total Cost
0,2024-09-29,$0.00,$0.00,$0.00
1,2024-10-06,$199.52,$10.00,$209.52
2,2024-10-13,$0.00,$0.00,$0.00
3,2024-10-20,$79.21,$10.00,$89.21
4,2024-10-27,$85.98,$10.00,$95.98
5,2024-11-03,$85.48,$10.00,$95.48
6,2024-11-10,$0.00,$0.00,$0.00
7,2024-11-17,$0.00,$0.00,$0.00
8,2024-11-24,$0.00,$0.00,$0.00
9,2024-12-01,$0.00,$0.00,$0.00
10,2024-12-08,$0.00,$0.00,$0.00
11,2024-12-15,$75.89,$10.00,$85.89
12,2024-12-22,$76.01,$10.00,$86.01
13,2024-12-29,$77.47,$10.00,$87.47
14,2025-01-05,$0.00,$0.00,$0.00
15,2025-01-12,$0.00,$0.00,$0.00
16,2025-01-19,$0.00,$0.00,$0.00
17,2025-01-26,$0.00,$0.00,$0.00
18,2025-02-02,$76.13,$10.00,$86.13
19,2025-02-09,$0.00,$0.00,$0.00
20,2025-02-16,$0.00,$0.00,$0.00
21,2025-02-23,$75.78,$10.00,$85.78
22,2025-03-02,$0.00,$0.00,$0.00
23,2025-03-09,$0.00,$0.00,$0.00
24,2025-03-16,$0.00,$0.00,$0.00
25,2025-03-23,$93.80,$10.00,$103.80
26,2025-03-30,$0.00,$0.00,$0.00
27,2025-04-06,$0.00,$0.00,$0.00
28,2025-04-13,$0.00,$0.00,$0.00
29,2025-04-20,$75.17,$10.00,$85.17
30,2025-04-27,$0.00,$0.00,$0.00
31,2025-05-04,$0.00,$0.00,$0.00
32,2025-05-11,$75.02,$10.00,$85.02
33,2025-05-18,$0.00,$0.00,$0.00
34,2025-05-25,$0.00,$0.00,$0.00
35,2025-06-01,$0.00,$0.00,$0.00
36,TOTAL,$1075.46,$120.00,$1195.46
