,frozen_edamame,great_northern_beans,jasmine_rice,mixed_nuts,peanut_butter,pinto_beans,white_rice,eggs_large,pasta,frozen_green_beans,raisins,bananas,black_beans,feta_cheese,frozen_chopped_spinach,frozen_pizza,frozen_cauliflower,frozen_breakfast_sandwich,olive_oil,chicken_breast,chips,granola_bar,protein_bars,frozen_broccoli,canned_tuna,frozen_raspberries,frozen_peas,deli_turkey
0,9.0,3.0,13,8,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,
1,4.0,5.0,14,8,14.0,14.0,11.0,12.0,2.0,,,,,,,,,,,,,,,,,,,
2,3.0,2.0,14,7,13.0,14.0,14.0,,5.0,2.0,6.0,,,,,,,,,,,,,,,,,
3,1.0,2.0,14,2,12.0,7.0,12.0,,3.0,1.0,9.0,3.0,4.0,8.0,5.0,,,,,,,,,,,,,
4,9.0,,14,8,14.0,7.0,8.0,,,,2.0,9.0,,8.0,,2.0,,,,,,,,,,,,
5,,12.0,14,2,14.0,7.0,14.0,,1.0,2.0,1.0,3.0,,8.0,,,,,,,,,,,,,,
6,3.0,14.0,14,12,14.0,8.0,14.0,,,,4.0,,1.0,,,2.0,3.0,,,,,,,,,,,
7,3.0,4.0,14,11,14.0,14.0,14.0,,,,,,1.0,,,,,,,,,,,,,,,
8,7.0,4.0,14,6,14.0,14.0,14.0,,,,2.0,,,,,,,,,,,,,,,,,
9,1.0,14.0,14,7,1.0,12.0,13.0,,5.0,,,,,,,1.0,1.0,7.0,4.0,,,,,,,,,
10,8.0,,14,10,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,
11,9.0,10.0,13,10,13.0,10.0,14.0,,,,,,,,3.0,,2.0,1.0,,,,,,,,,,
12,1.0,14.0,11,7,13.0,11.0,14.0,,,,4.0,,,,,,,,,3.0,1.0,2.0,,,,,,
13,3.0,,7,13,14.0,12.0,14.0,,3.0,,1.0,,,,5.0,,,,,,4.0,14.0,4.0,,,,,
14,6.0,12.0,12,14,14.0,9.0,14.0,,,,1.0,,,,,,,,,,,,,6.0,,,,
15,4.0,4.0,9,14,14.0,11.0,14.0,,,,2.0,,,,,1.0,1.0,,,,,,4.0,6.0,1.0,,,
16,5.0,4.0,14,5,14.0,14.0,14.0,,,,1.0,,,,,1.0,,,,,,,,,,,,
17,8.0,12.0,13,11,14.0,9.0,14.0,,,,1.0,,,,,,,,,,,,,,,,,
18,3.0,14.0,11,7,13.0,7.0,14.0,,,,,3.0,,8.0,1.0,,,,,,,,,3.0,,,,
19,6.0,12.0,14,5,14.0,11.0,14.0,,,,1.0,,,,,1.0,,,,,,,,,,,,
20,3.0,7.0,14,8,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,
21,2.0,14.0,13,4,11.0,12.0,13.0,12.0,,,2.0,,,,,2.0,,,,,,,,,,,,
22,3.0,13.0,14,10,14.0,11.0,14.0,,,,,,,,,,,,,,,,,,,,,
23,5.0,6.0,14,7,14.0,12.0,14.0,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,
24,,11.0,14,3,14.0,13.0,14.0,,,,1.0,,,,,3.0,,,,,,,,2.0,,,,
25,,10.0,13,7,14.0,7.0,14.0,,1.0,,,,,8.0,,,8.0,,,,,,,,,2.0,,
26,1.0,6.0,14,2,14.0,14.0,14.0,,1.0,,1.0,,,,,3.0,,,,,,,,6.0,,,,
27,3.0,7.0,14,8,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,
28,3.0,1.0,11,14,14.0,4.0,14.0,,3.0,,1.0,,,,,,,,,,,,12.0,7.0,,,13.0,
29,5.0,11.0,14,6,14.0,12.0,14.0,,,,1.0,,,,,,,,,,,,,,,,,
30,3.0,7.0,14,8,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,
31,3.0,12.0,14,13,14.0,11.0,13.0,,,,,,,,,,,,,,,,,1.0,,,,
32,3.0,1.0,12,14,14.0,12.0,14.0,,,,,,,,5.0,,,,,,,,,14.0,,,,6.0
33,5.0,4.0,14,8,14.0,14.0,14.0,,,,,,,,,,,,,,,,,,,,,
34,3.0,9.0,14,9,14.0,13.0,14.0,,,,,,,,,,,,,,,,,,,,,
35,14.0,14.0,14,11,,,,,14.0,14.0,,,,,,,10.0,14.0,,,,14.0,,,,14.0,,
