,eggs_large,frozen_edamame,great_northern_beans,jasmine_rice,mixed_nuts,pasta,peanut_butter,pinto_beans,white_rice,bananas,feta_cheese,frozen_chopped_spinach,frozen_green_beans,raisins,black_beans,frozen_cauliflower,frozen_pizza,olive_oil,frozen_breakfast_sandwich,protein_bars,chicken_breast,chips,frozen_broccoli,canned_tuna,granola_bar,frozen_raspberries,frozen_peas,deli_turkey
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12.0,6.0,57.0,147.0,28.0,8.0,350.0,14.0,22.0,,,,,,,,,,,,,,,,,,,
2,,2.0,52.0,133.0,20.0,6.0,336.0,,11.0,,,,,,,,,,,,,,,,,,,
3,,9.0,50.0,159.0,13.0,9.0,323.0,34.0,69.0,3.0,8.0,5.0,3.0,1.0,,,,,,,,,,,,,,
4,,8.0,48.0,145.0,56.0,6.0,311.0,63.0,93.0,9.0,8.0,,2.0,13.0,2.0,5.0,6.0,32.0,,,,,,,,,,
5,,14.0,48.0,131.0,48.0,6.0,297.0,56.0,265.0,3.0,8.0,,2.0,11.0,2.0,5.0,4.0,32.0,8.0,,,,,,,,,
6,,14.0,36.0,117.0,46.0,5.0,283.0,49.0,251.0,,,,,10.0,2.0,5.0,4.0,32.0,8.0,,,,,,,,,
7,,11.0,22.0,103.0,34.0,5.0,269.0,41.0,237.0,,,,,6.0,1.0,2.0,2.0,32.0,8.0,,,,,,,,,
8,,8.0,18.0,89.0,23.0,5.0,255.0,27.0,223.0,,,,,6.0,,2.0,2.0,32.0,8.0,,,,,,,,,
9,,1.0,14.0,75.0,17.0,5.0,241.0,13.0,209.0,,,,,4.0,,2.0,2.0,32.0,8.0,,,,,,,,,
10,,,,61.0,10.0,,240.0,1.0,196.0,,,,,4.0,,1.0,1.0,28.0,1.0,,,,,,,,,
11,,7.0,,47.0,,,226.0,3.0,182.0,,,,,11.0,,1.0,1.0,28.0,1.0,24.0,,,,,,,,
12,,23.0,2.0,74.0,80.0,,213.0,1.0,186.0,,,2.0,,11.0,,9.0,7.0,28.0,,24.0,3.0,5.0,15.0,,,,,
13,,37.0,20.0,123.0,73.0,8.0,228.0,46.0,172.0,,,7.0,,7.0,,9.0,7.0,28.0,,24.0,,4.0,15.0,1.0,14.0,,,
14,,34.0,20.0,116.0,60.0,5.0,214.0,34.0,158.0,,,2.0,,6.0,,9.0,7.0,28.0,,20.0,,,15.0,1.0,,,,
15,,28.0,8.0,104.0,46.0,5.0,200.0,25.0,144.0,,,2.0,,5.0,,9.0,7.0,28.0,,20.0,,,9.0,1.0,,,,
16,,24.0,4.0,95.0,32.0,5.0,186.0,14.0,130.0,,,2.0,,3.0,,8.0,6.0,28.0,,16.0,,,3.0,,,,,
17,,19.0,,81.0,27.0,5.0,172.0,,116.0,,,2.0,,2.0,,8.0,5.0,28.0,,16.0,,,3.0,,,,,
18,,11.0,64.0,148.0,43.0,5.0,158.0,35.0,102.0,3.0,8.0,2.0,,1.0,,8.0,5.0,28.0,,16.0,,,3.0,,,3.0,,
19,,8.0,50.0,137.0,36.0,5.0,145.0,28.0,88.0,,,1.0,,1.0,,8.0,5.0,28.0,,16.0,,,,,,3.0,,
20,,2.0,38.0,123.0,31.0,5.0,131.0,17.0,74.0,,,1.0,,,,8.0,4.0,28.0,,16.0,,,,,,3.0,,
21,12.0,14.0,71.0,129.0,23.0,5.0,117.0,83.0,60.0,,,1.0,,7.0,,8.0,4.0,28.0,,16.0,,,15.0,,,3.0,,
22,,12.0,57.0,116.0,19.0,5.0,106.0,71.0,47.0,,,1.0,,5.0,,8.0,2.0,28.0,,16.0,,,15.0,,,3.0,,
23,,9.0,44.0,102.0,9.0,5.0,92.0,60.0,33.0,,,1.0,,5.0,,8.0,2.0,28.0,,16.0,,,15.0,,,3.0,,
24,,4.0,38.0,88.0,2.0,5.0,78.0,48.0,19.0,,,,,4.0,,8.0,,28.0,,16.0,,,15.0,,,3.0,,
25,,4.0,27.0,74.0,17.0,5.0,204.0,35.0,113.0,,8.0,,,3.0,,8.0,3.0,28.0,,16.0,,,13.0,,,3.0,,
26,,4.0,17.0,61.0,10.0,4.0,190.0,28.0,99.0,,,,,3.0,,,3.0,28.0,,16.0,,,13.0,,,1.0,,
27,,3.0,11.0,47.0,8.0,3.0,176.0,14.0,85.0,,,,,2.0,,,,28.0,,16.0,,,7.0,,,1.0,,
28,,,4.0,33.0,,3.0,162.0,,71.0,,,,,2.0,,,,28.0,,16.0,,,7.0,,,1.0,,
29,,22.0,19.0,42.0,40.0,,148.0,56.0,57.0,,,,,1.0,,,,28.0,,4.0,,,,1.0,,1.0,2.0,
30,,17.0,8.0,28.0,34.0,,134.0,44.0,43.0,,,,,,,,,28.0,,4.0,,,,1.0,,1.0,2.0,
31,,14.0,1.0,14.0,26.0,,120.0,30.0,29.0,,,,,,,,,28.0,,4.0,,,,1.0,,1.0,2.0,
32,,11.0,17.0,40.0,49.0,,106.0,39.0,70.0,,,5.0,,,,,,28.0,,4.0,,,14.0,8.0,,1.0,2.0,6.0
33,,8.0,16.0,28.0,35.0,,92.0,27.0,56.0,,,,,,,,,28.0,,4.0,,,,8.0,,1.0,2.0,
34,,3.0,12.0,14.0,27.0,,78.0,13.0,42.0,,,,,,,,,28.0,,4.0,,,,8.0,,1.0,2.0,
35,,,3.0,,18.0,,64.0,,28.0,,,,,,,,,28.0,,4.0,,,,8.0,,1.0,2.0,
