,eggs_large,frozen_edamame,great_northern_beans,jasmine_rice,mixed_nuts,pasta,peanut_butter,pinto_beans,white_rice,bananas,feta_cheese,frozen_chopped_spinach,frozen_green_beans,raisins,black_beans,frozen_cauliflower,frozen_pizza,olive_oil,frozen_breakfast_sandwich,protein_bars,chicken_breast,chips,frozen_broccoli,canned_tuna,granola_bar,frozen_raspberries,frozen_peas,deli_turkey
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"{'servings': 12, 'packages': 1}","{'servings': 15, 'packages': 3}","{'servings': 60, 'packages': 15}","{'servings': 160, 'packages': 8}","{'servings': 36, 'packages': 4}","{'servings': 8, 'packages': 1}","{'servings': 364, 'packages': 26}","{'servings': 28, 'packages': 7}","{'servings': 36, 'packages': 2}",,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,"{'servings': 10, 'packages': 2}",,"{'servings': 40, 'packages': 2}",,"{'servings': 8, 'packages': 1}",,"{'servings': 48, 'packages': 12}","{'servings': 72, 'packages': 4}","{'servings': 3, 'packages': 1}","{'servings': 8, 'packages': 1}","{'servings': 5, 'packages': 1}","{'servings': 5, 'packages': 1}","{'servings': 7, 'packages': 1}",,,,,,,,,,,,,,
4,,,,,"{'servings': 45, 'packages': 5}",,,"{'servings': 36, 'packages': 9}","{'servings': 36, 'packages': 2}","{'servings': 9, 'packages': 3}","{'servings': 8, 'packages': 1}",,,"{'servings': 21, 'packages': 3}","{'servings': 6, 'packages': 1}","{'servings': 5, 'packages': 1}","{'servings': 6, 'packages': 1}","{'servings': 32, 'packages': 1}",,,,,,,,,,
5,,"{'servings': 15, 'packages': 3}",,,,,,,"{'servings': 180, 'packages': 10}","{'servings': 3, 'packages': 1}","{'servings': 8, 'packages': 1}",,,,,,,,"{'servings': 8, 'packages': 1}",,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,"{'servings': 15, 'packages': 3}",,,,,,"{'servings': 16, 'packages': 4}",,,,,,"{'servings': 7, 'packages': 1}",,,,,,"{'servings': 24, 'packages': 2}",,,,,,,,
12,,"{'servings': 25, 'packages': 5}","{'servings': 12, 'packages': 3}","{'servings': 40, 'packages': 2}","{'servings': 90, 'packages': 10}",,,"{'servings': 8, 'packages': 2}","{'servings': 18, 'packages': 1}",,,"{'servings': 5, 'packages': 1}",,,,"{'servings': 10, 'packages': 2}","{'servings': 6, 'packages': 1}",,,,"{'servings': 3, 'packages': 1}","{'servings': 5, 'packages': 1}","{'servings': 15, 'packages': 1}",,,,,
13,,"{'servings': 15, 'packages': 3}","{'servings': 32, 'packages': 8}","{'servings': 60, 'packages': 3}",,"{'servings': 8, 'packages': 1}","{'servings': 28, 'packages': 2}","{'servings': 56, 'packages': 14}",,,,"{'servings': 5, 'packages': 1}",,,,,,,,,,,,"{'servings': 1, 'packages': 1}","{'servings': 16, 'packages': 2}",,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,"{'servings': 76, 'packages': 19}","{'servings': 80, 'packages': 4}","{'servings': 27, 'packages': 3}",,,"{'servings': 44, 'packages': 11}",,"{'servings': 3, 'packages': 1}","{'servings': 8, 'packages': 1}",,,,,,,,,,,,,,,"{'servings': 3, 'packages': 1}",,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"{'servings': 12, 'packages': 1}","{'servings': 15, 'packages': 3}","{'servings': 40, 'packages': 10}","{'servings': 20, 'packages': 1}",,,,"{'servings': 80, 'packages': 20}",,,,,,"{'servings': 7, 'packages': 1}",,,,,,,,,"{'servings': 15, 'packages': 1}",,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,"{'servings': 18, 'packages': 2}",,"{'servings': 140, 'packages': 10}",,"{'servings': 108, 'packages': 6}",,"{'servings': 8, 'packages': 1}",,,,,,"{'servings': 6, 'packages': 1}",,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,"{'servings': 25, 'packages': 5}","{'servings': 16, 'packages': 4}","{'servings': 20, 'packages': 1}","{'servings': 54, 'packages': 6}",,,"{'servings': 60, 'packages': 15}",,,,,,,,,,,,,,,,"{'servings': 1, 'packages': 1}",,,"{'servings': 15, 'packages': 3}",
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,"{'servings': 28, 'packages': 7}","{'servings': 40, 'packages': 2}","{'servings': 36, 'packages': 4}",,,"{'servings': 20, 'packages': 5}","{'servings': 54, 'packages': 3}",,,"{'servings': 5, 'packages': 1}",,,,,,,,,,,"{'servings': 15, 'packages': 1}","{'servings': 7, 'packages': 7}",,,,"{'servings': 6, 'packages': 1}"
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
