,canned_tuna,frozen_cranberries,frozen_edamame,great_northern_beans,jasmine_rice,mixed_nuts,peanut_butter,pinto_beans,raisins,white_rice,frozen_cherries,frozen_pizza,black_beans,almond_butter,frozen_breakfast_sandwich,feta_cheese,fresh_celery,frozen_broccoli,frozen_cauliflower,frozen_green_beans,frozen_peas,chips,chocolate,chopped_kale,frozen_chopped_spinach,granola_bar,pasta,broth,chicken_breast,cherry_tomatoes,ground_beef,blueberries,grapes,dates,frozen_raspberries
0,11.0,7.0,12.0,11.0,12.0,8.0,12.0,5.0,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,10.0,6.0,12.0,7.0,12.0,12.0,7.0,12,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,1.0,11.0,10.0,12.0,7.0,12.0,9.0,6.0,12,2.0,,,,,,,,,,,,,,,,,,,,,,,,
3,,,11.0,5.0,12.0,6.0,12.0,12.0,7.0,12,,,,,,,,,,,,,,,,,,,,,,,,,
4,,1.0,12.0,7.0,12.0,12.0,12.0,9.0,8.0,12,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5,,,12.0,3.0,12.0,7.0,12.0,12.0,7.0,12,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,9.0,6.0,12.0,9.0,12.0,12.0,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,12.0,12.0,11.0,12.0,12.0,8.0,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,9.0,6.0,12.0,12.0,12.0,11.0,9.0,12,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0,,9.0,9.0,12.0,8.0,12.0,11.0,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,9.0,7.0,12.0,8.0,12.0,12.0,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,8.0,7.0,12.0,10.0,12.0,12.0,5.0,12,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,8.0,7.0,12.0,10.0,12.0,12.0,5.0,12,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13,,,11.0,5.0,12.0,6.0,12.0,12.0,7.0,12,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14,,,9.0,7.0,12.0,8.0,12.0,12.0,6.0,12,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.0,,12.0,11.0,3.0,7.0,12.0,3.0,7.0,12,,,4.0,12.0,7.0,,,,,,,,,,,,,,,,,,,,
16,1.0,,8.0,11.0,12.0,6.0,12.0,10.0,10.0,12,,2.0,,,,,,,,,,,,,,,,,,,,,,,
17,,,9.0,,7.0,9.0,12.0,11.0,6.0,12,,,,,,8.0,5.0,2.0,4.0,,,,,,,,,,,,,,,,
18,,,2.0,8.0,12.0,2.0,12.0,9.0,7.0,12,3.0,,1.0,,,8.0,,,,3.0,9.0,,,,,,,,,,,,,,
19,,2.0,1.0,4.0,,4.0,12.0,6.0,7.0,12,4.0,,,2.0,1.0,8.0,,2.0,,2.0,,12.0,6.0,5.0,5.0,6.0,8.0,,,,,,,,
20,,1.0,9.0,6.0,11.0,8.0,12.0,12.0,6.0,12,,,,,,,,1.0,,,,,,,,,,12.0,3.0,,,,,,
21,,1.0,10.0,5.0,10.0,12.0,12.0,11.0,7.0,12,,,,,,,,,,,,,,,,,5.0,12.0,,,,,,,
22,,,9.0,6.0,3.0,10.0,12.0,12.0,5.0,12,,,,,,8.0,,,,,,,,,,,2.0,12.0,9.0,5.0,4.0,,,,
23,,1.0,,10.0,10.0,10.0,12.0,11.0,7.0,12,,,,,,,,,,,,,,,,,,8.0,6.0,,,2.0,5.0,,
24,,1.0,10.0,8.0,12.0,7.0,12.0,10.0,8.0,12,,1.0,,,,,,1.0,,,1.0,,,,,,3.0,,,,,,,,
25,,,10.0,,8.0,4.0,12.0,12.0,9.0,12,,2.0,,,,,,,,5.0,,5.0,,,,,12.0,,,,,,,,
26,7.0,,10.0,12.0,8.0,,12.0,10.0,7.0,12,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,
27,,,10.0,12.0,12.0,7.0,12.0,9.0,7.0,12,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,
28,,,10.0,6.0,8.0,7.0,12.0,10.0,7.0,12,,,,,6.0,,,4.0,,,,,,,,,,,,,,,,2.0,
29,,,9.0,9.0,12.0,7.0,12.0,11.0,7.0,12,,,,,,,,1.0,,,,,,,,,,,,,,,,,
30,,,9.0,9.0,11.0,8.0,12.0,11.0,6.0,12,,,,,1.0,,,,,,,,,,,,,,,,,,,,
31,,,11.0,3.0,12.0,7.0,12.0,12.0,7.0,12,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,
32,,,11.0,10.0,6.0,6.0,12.0,9.0,8.0,12,,,,,6.0,,,1.0,,,,,,,,,,,,,,,,1.0,
33,,,8.0,8.0,12.0,12.0,12.0,11.0,5.0,12,,,,,,,,2.0,,,,,,,,,,,,,,,,,
34,,,10.0,9.0,12.0,7.0,10.0,9.0,10.0,12,,,,,2.0,,,1.0,1.0,,,12.0,,,,1.0,,,,,,,,,
35,2.0,,12.0,12.0,12.0,12.0,,,,2,,,,12.0,9.0,,,,2.0,12.0,,,,,,12.0,12.0,,,,,,,,12.0
