,canned_tuna,frozen_cherries,frozen_cranberries,frozen_edamame,great_northern_beans,jasmine_rice,mixed_nuts,peanut_butter,pinto_beans,raisins,white_rice,almond_butter,black_beans,frozen_breakfast_sandwich,frozen_pizza,granola_bar,chips,feta_cheese,fresh_celery,frozen_broccoli,frozen_cauliflower,frozen_peas,chopped_kale,frozen_green_beans,broth,chicken_breast,cherry_tomatoes,ground_beef,pasta,blueberries,dates,grapes
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.0,3.0,2.0,98.0,121.0,108.0,82.0,408.0,123.0,225.0,420.0,,,,,,,,,,,,,,,,,,,,,
2,4.0,3.0,2.0,88.0,115.0,96.0,75.0,396.0,111.0,218.0,408.0,,,,,,,,,,,,,,,,,,,,,
3,1.0,1.0,1.0,77.0,105.0,84.0,68.0,384.0,102.0,212.0,396.0,,,,,,,,,,,,,,,,,,,,,
4,1.0,1.0,1.0,66.0,100.0,72.0,62.0,372.0,90.0,205.0,384.0,,,,,,,,,,,,,,,,,,,,,
5,1.0,,,54.0,93.0,60.0,50.0,360.0,81.0,197.0,372.0,,,,,,,,,,,,,,,,,,,,,
6,1.0,,,42.0,90.0,48.0,43.0,348.0,69.0,190.0,360.0,,,,,,,,,,,,,,,,,,,,,
7,1.0,,,33.0,84.0,36.0,34.0,336.0,57.0,184.0,348.0,,,,,,,,,,,,,,,,,,,,,
8,1.0,,,21.0,72.0,25.0,22.0,324.0,49.0,178.0,336.0,,,,,,,,,,,,,,,,,,,,,
9,1.0,,,12.0,66.0,13.0,10.0,312.0,38.0,169.0,324.0,,,,,,,,,,,,,,,,,,,,,
10,,,,3.0,57.0,1.0,2.0,300.0,27.0,163.0,312.0,,,,,,,,,,,,,,,,,,,,,
11,1.0,,,49.0,50.0,69.0,48.0,288.0,51.0,157.0,300.0,14.0,6.0,8.0,6.0,8.0,,,,,,,,,,,,,,,,
12,1.0,,,41.0,43.0,57.0,38.0,276.0,39.0,152.0,288.0,14.0,6.0,8.0,6.0,8.0,,,,,,,,,,,,,,,,
13,1.0,,,33.0,36.0,45.0,28.0,264.0,27.0,147.0,276.0,14.0,6.0,8.0,5.0,8.0,,,,,,,,,,,,,,,,
14,1.0,,,22.0,31.0,33.0,22.0,252.0,15.0,140.0,264.0,14.0,5.0,8.0,5.0,8.0,,,,,,,,,,,,,,,,
15,1.0,,,13.0,24.0,21.0,14.0,240.0,3.0,134.0,252.0,14.0,5.0,8.0,5.0,8.0,,,,,,,,,,,,,,,,
16,,,,1.0,13.0,18.0,7.0,228.0,,127.0,240.0,2.0,1.0,1.0,5.0,8.0,,,,,,,,,,,,,,,,
17,,,,8.0,2.0,106.0,73.0,216.0,18.0,124.0,228.0,2.0,1.0,1.0,3.0,8.0,5.0,8.0,5.0,,,,,,,,,,,,,
18,,,,4.0,10.0,99.0,118.0,204.0,79.0,118.0,216.0,2.0,1.0,1.0,3.0,8.0,5.0,8.0,,13.0,1.0,10.0,,,,,,,,,,
19,,6.0,3.0,72.0,18.0,87.0,116.0,192.0,86.0,111.0,204.0,2.0,,1.0,3.0,8.0,5.0,8.0,,13.0,1.0,1.0,5.0,2.0,,,,,,,,
20,,2.0,1.0,71.0,14.0,87.0,112.0,180.0,80.0,104.0,192.0,,,,3.0,2.0,33.0,,,11.0,1.0,1.0,,,28.0,3.0,,,,,,
21,,2.0,,62.0,8.0,76.0,104.0,168.0,68.0,98.0,180.0,,,,3.0,2.0,33.0,,,10.0,1.0,1.0,,,16.0,,,,,,,
22,,2.0,2.0,52.0,7.0,86.0,110.0,156.0,81.0,91.0,168.0,,,,3.0,2.0,33.0,8.0,,10.0,1.0,1.0,,5.0,4.0,9.0,5.0,4.0,11.0,,,
23,,2.0,2.0,43.0,109.0,83.0,100.0,144.0,105.0,86.0,156.0,,,,3.0,2.0,33.0,,,10.0,1.0,1.0,,5.0,,6.0,,,9.0,2.0,9.0,5.0
24,6.0,2.0,1.0,43.0,99.0,113.0,90.0,132.0,114.0,79.0,144.0,,,,3.0,2.0,58.0,,,10.0,1.0,1.0,,5.0,,,,,17.0,,36.0,
25,7.0,2.0,,98.0,91.0,101.0,83.0,120.0,104.0,85.0,132.0,,,32.0,2.0,2.0,58.0,,,9.0,1.0,,,5.0,,,,,14.0,,36.0,
26,7.0,2.0,,88.0,91.0,93.0,79.0,108.0,92.0,76.0,120.0,,,32.0,,2.0,53.0,,,9.0,1.0,,,,,,,,2.0,,36.0,
27,,2.0,,78.0,79.0,85.0,79.0,96.0,82.0,69.0,108.0,,,28.0,,2.0,53.0,,,9.0,1.0,,,,,,,,2.0,,35.0,
28,,2.0,,68.0,67.0,73.0,72.0,84.0,73.0,62.0,96.0,,,28.0,,2.0,53.0,,,9.0,1.0,,,,,,,,,,34.0,
29,,2.0,,58.0,61.0,65.0,65.0,72.0,63.0,55.0,84.0,,,22.0,,2.0,53.0,,,5.0,1.0,,,,,,,,,,32.0,
30,,2.0,,49.0,52.0,53.0,58.0,60.0,52.0,48.0,72.0,,,22.0,,2.0,53.0,,,4.0,1.0,,,,,,,,,,32.0,
31,,2.0,,40.0,43.0,42.0,50.0,48.0,41.0,42.0,60.0,,,21.0,,2.0,53.0,,,4.0,1.0,,,,,,,,,,32.0,
32,,2.0,,29.0,40.0,30.0,43.0,36.0,29.0,35.0,48.0,,,21.0,,2.0,50.0,,,4.0,1.0,,,,,,,,,,30.0,
33,,2.0,,18.0,30.0,24.0,37.0,24.0,20.0,27.0,36.0,,,15.0,,2.0,50.0,,,3.0,1.0,,,,,,,,,,29.0,
34,,2.0,,10.0,22.0,12.0,25.0,12.0,9.0,22.0,24.0,,,15.0,,2.0,50.0,,,1.0,1.0,,,,,,,,,,29.0,
35,,2.0,,,13.0,,18.0,2.0,,12.0,12.0,,,13.0,,1.0,38.0,,,,,,,,,,,,,,29.0,
