,canned_tuna,frozen_cherries,frozen_cranberries,frozen_edamame,great_northern_beans,jasmine_rice,mixed_nuts,peanut_butter,pinto_beans,raisins,white_rice,almond_butter,black_beans,frozen_breakfast_sandwich,frozen_pizza,granola_bar,chips,feta_cheese,fresh_celery,frozen_broccoli,frozen_cauliflower,frozen_peas,chopped_kale,frozen_green_beans,broth,chicken_breast,chocolate,frozen_chopped_spinach,pasta,cherry_tomatoes,ground_beef,blueberries,dates,grapes
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"{'servings': 15, 'packages': 15}","{'servings': 3, 'packages': 1}","{'servings': 9, 'packages': 3}","{'servings': 110, 'packages': 22}","{'servings': 132, 'packages': 33}","{'servings': 120, 'packages': 6}","{'servings': 90, 'packages': 10}","{'servings': 420, 'packages': 30}","{'servings': 128, 'packages': 32}","{'servings': 231, 'packages': 33}","{'servings': 432, 'packages': 24}",,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"{'servings': 1, 'packages': 1}",,,"{'servings': 55, 'packages': 11}",,"{'servings': 80, 'packages': 4}","{'servings': 54, 'packages': 6}",,"{'servings': 36, 'packages': 9}",,,"{'servings': 14, 'packages': 1}","{'servings': 6, 'packages': 1}","{'servings': 8, 'packages': 1}","{'servings': 6, 'packages': 1}","{'servings': 8, 'packages': 1}",,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"{'servings': 1, 'packages': 1}",,,"{'servings': 15, 'packages': 3}",,"{'servings': 100, 'packages': 5}","{'servings': 72, 'packages': 8}",,"{'servings': 28, 'packages': 7}","{'servings': 7, 'packages': 1}",,,,,,,"{'servings': 5, 'packages': 1}","{'servings': 8, 'packages': 1}","{'servings': 5, 'packages': 1}",,,,,,,,,,,,,,,
18,,,,"{'servings': 5, 'packages': 1}","{'servings': 8, 'packages': 2}",,"{'servings': 54, 'packages': 6}",,"{'servings': 72, 'packages': 18}",,,,,,,,,"{'servings': 8, 'packages': 1}",,"{'servings': 15, 'packages': 1}","{'servings': 5, 'packages': 1}","{'servings': 10, 'packages': 2}",,,,,,,,,,,,
19,,"{'servings': 9, 'packages': 3}","{'servings': 3, 'packages': 1}","{'servings': 70, 'packages': 14}","{'servings': 16, 'packages': 4}",,,,"{'servings': 16, 'packages': 4}",,,,,,,,,"{'servings': 8, 'packages': 1}",,,,,"{'servings': 5, 'packages': 1}","{'servings': 5, 'packages': 1}",,,,,,,,,,
20,,,,,,,,,,,,,,,,,"{'servings': 40, 'packages': 8}",,,,,,,,"{'servings': 28, 'packages': 7}","{'servings': 3, 'packages': 1}","{'servings': 6, 'packages': 2}","{'servings': 5, 'packages': 1}","{'servings': 8, 'packages': 1}",,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,"{'servings': 3, 'packages': 1}",,"{'servings': 4, 'packages': 1}","{'servings': 20, 'packages': 1}","{'servings': 18, 'packages': 2}",,"{'servings': 24, 'packages': 6}",,,,,,,,,"{'servings': 8, 'packages': 1}",,,,,,"{'servings': 5, 'packages': 1}",,"{'servings': 9, 'packages': 3}",,,"{'servings': 16, 'packages': 2}","{'servings': 5, 'packages': 1}","{'servings': 4, 'packages': 1}",,,
