,Week,Orders,Consumption Plan,Remaining Inventory,Wastage,Total Cost
0,2024-09-29,No orders needed,"canned_tuna: 11 servings
frozen_cranberries: 7 servings
frozen_edamame: 12 servings
great_northern_beans: 11 servings
jasmine_rice: 12 servings
mixed_nuts: 8 servings
peanut_butter: 12 servings
pinto_beans: 5 servings
raisins: 6 servings
white_rice: 12 servings",None,None,$0.00
1,2024-10-06,"canned_tuna: 15 servings (15 packages)
frozen_cherries: 3 servings (1 package)
frozen_cranberries: 9 servings (3 packages)
frozen_edamame: 110 servings (22 packages)
great_northern_beans: 132 servings (33 packages)
jasmine_rice: 120 servings (6 packages)
mixed_nuts: 90 servings (10 packages)
peanut_butter: 420 servings (30 packages)
pinto_beans: 128 servings (32 packages)
raisins: 231 servings (33 packages)
white_rice: 432 servings (24 packages)","frozen_edamame: 10 servings
great_northern_beans: 6 servings
jasmine_rice: 12 servings
mixed_nuts: 7 servings
peanut_butter: 12 servings
pinto_beans: 12 servings
raisins: 7 servings
white_rice: 12 servings","canned_tuna: 4 servings
frozen_cherries: 3 servings
frozen_cranberries: 2 servings
frozen_edamame: 98 servings
great_northern_beans: 121 servings
jasmine_rice: 108 servings
mixed_nuts: 82 servings
peanut_butter: 408 servings
pinto_beans: 123 servings
raisins: 225 servings
white_rice: 420 servings",None,$594.94
2,2024-10-13,No orders needed,"canned_tuna: 3 servings
frozen_cherries: 2 servings
frozen_cranberries: 1 servings
frozen_edamame: 11 servings
great_northern_beans: 10 servings
jasmine_rice: 12 servings
mixed_nuts: 7 servings
peanut_butter: 12 servings
pinto_beans: 9 servings
raisins: 6 servings
white_rice: 12 servings","canned_tuna: 4 servings
frozen_cherries: 3 servings
frozen_cranberries: 2 servings
frozen_edamame: 88 servings
great_northern_beans: 115 servings
jasmine_rice: 96 servings
mixed_nuts: 75 servings
peanut_butter: 396 servings
pinto_beans: 111 servings
raisins: 218 servings
white_rice: 408 servings",None,$0.00
3,2024-10-20,No orders needed,"frozen_edamame: 11 servings
great_northern_beans: 5 servings
jasmine_rice: 12 servings
mixed_nuts: 6 servings
peanut_butter: 12 servings
pinto_beans: 12 servings
raisins: 7 servings
white_rice: 12 servings","frozen_edamame: 77 servings
great_northern_beans: 105 servings
jasmine_rice: 84 servings
mixed_nuts: 68 servings
peanut_butter: 384 servings
pinto_beans: 102 servings
raisins: 212 servings
white_rice: 396 servings",None,$0.00
4,2024-10-27,No orders needed,"frozen_cherries: 1 servings
frozen_cranberries: 1 servings
frozen_edamame: 12 servings
great_northern_beans: 7 servings
jasmine_rice: 12 servings
mixed_nuts: 12 servings
peanut_butter: 12 servings
pinto_beans: 9 servings
raisins: 8 servings
white_rice: 12 servings","frozen_cherries: 1 servings
frozen_cranberries: 1 servings
frozen_edamame: 66 servings
great_northern_beans: 100 servings
jasmine_rice: 72 servings
mixed_nuts: 62 servings
peanut_butter: 372 servings
pinto_beans: 90 servings
raisins: 205 servings
white_rice: 384 servings",None,$0.00
5,2024-11-03,No orders needed,"frozen_edamame: 12 servings
great_northern_beans: 3 servings
jasmine_rice: 12 servings
mixed_nuts: 7 servings
peanut_butter: 12 servings
pinto_beans: 12 servings
raisins: 7 servings
white_rice: 12 servings","frozen_edamame: 54 servings
great_northern_beans: 93 servings
jasmine_rice: 60 servings
mixed_nuts: 50 servings
peanut_butter: 360 servings
pinto_beans: 81 servings
raisins: 197 servings
white_rice: 372 servings",None,$0.00
6,2024-11-10,No orders needed,"frozen_edamame: 9 servings
great_northern_beans: 6 servings
jasmine_rice: 12 servings
mixed_nuts: 9 servings
peanut_butter: 12 servings
pinto_beans: 12 servings
raisins: 6 servings
white_rice: 12 servings","frozen_edamame: 42 servings
great_northern_beans: 90 servings
jasmine_rice: 48 servings
mixed_nuts: 43 servings
peanut_butter: 348 servings
pinto_beans: 69 servings
raisins: 190 servings
white_rice: 360 servings",None,$0.00
7,2024-11-17,No orders needed,"frozen_edamame: 12 servings
great_northern_beans: 12 servings
jasmine_rice: 11 servings
mixed_nuts: 12 servings
peanut_butter: 12 servings
pinto_beans: 8 servings
raisins: 6 servings
white_rice: 12 servings","frozen_edamame: 33 servings
great_northern_beans: 84 servings
jasmine_rice: 36 servings
mixed_nuts: 34 servings
peanut_butter: 336 servings
pinto_beans: 57 servings
raisins: 184 servings
white_rice: 348 servings",None,$0.00
8,2024-11-24,No orders needed,"frozen_edamame: 9 servings
great_northern_beans: 6 servings
jasmine_rice: 12 servings
mixed_nuts: 12 servings
peanut_butter: 12 servings
pinto_beans: 11 servings
raisins: 9 servings
white_rice: 12 servings","frozen_edamame: 21 servings
great_northern_beans: 72 servings
jasmine_rice: 25 servings
mixed_nuts: 22 servings
peanut_butter: 324 servings
pinto_beans: 49 servings
raisins: 178 servings
white_rice: 336 servings",None,$0.00
9,2024-12-01,No orders needed,"canned_tuna: 1 servings
frozen_edamame: 9 servings
great_northern_beans: 9 servings
jasmine_rice: 12 servings
mixed_nuts: 8 servings
peanut_butter: 12 servings
pinto_beans: 11 servings
raisins: 6 servings
white_rice: 12 servings","canned_tuna: 1 servings
frozen_edamame: 12 servings
great_northern_beans: 66 servings
jasmine_rice: 13 servings
mixed_nuts: 10 servings
peanut_butter: 312 servings
pinto_beans: 38 servings
raisins: 169 servings
white_rice: 324 servings",None,$0.00
